x,y
399.1926,0.2524432
401.1211,0.2650102
403.0495,0.2812739
404.978,0.3062325
406.9065,0.3279419
408.8349,0.3296684
410.7634,0.3332869
412.6919,0.3293337
414.6203,0.3149315
416.5488,0.2993891
418.4773,0.2789029
420.4057,0.2577533
422.3342,0.2426852
424.2627,0.2308269
426.1911,0.2209969
428.1196,0.2108171
430.0481,0.2011143
431.9765,0.1925682
433.905,0.1856504
435.8335,0.1784729
437.7619,0.1722578
439.6904,0.1657784
441.6189,0.1583686
443.5473,0.1551365
445.4758,0.1557907
447.4043,0.1583769
449.3327,0.1618778
451.2612,0.1657914
453.1897,0.171877
455.1181,0.1801753
457.0466,0.1892594
458.9751,0.1987459
460.9035,0.2040954
462.832,0.2037016
464.7605,0.202447
466.6889,0.204336
468.6174,0.2071973
470.5459,0.2066916
472.4743,0.2026861
474.4028,0.1995599
476.3313,0.2041661
478.2597,0.2152985
480.1882,0.2256892
482.1167,0.2256334
484.0451,0.2144395
485.9736,0.1980346
487.9021,0.1800315
489.8305,0.1633363
491.759,0.1495653
493.6875,0.1394502
495.6159,0.1331613
497.5444,0.1321763
499.4729,0.1348617
501.4013,0.1396705
503.3298,0.1453471
505.2583,0.1506314
507.1867,0.1531768
509.1152,0.1493441
511.0437,0.1407256
512.9721,0.1311416
514.9006,0.1204154
516.829,0.1087275
518.7575,0.09595681
520.686,0.08365794
522.6144,0.07400149
524.5429,0.06685846
526.4714,0.0610775
528.3998,0.05624713
530.3283,0.05279543
532.2568,0.05009893
534.1852,0.04848138
536.1137,0.04745036
538.0422,0.04706252
539.9706,0.04699825
541.8991,0.04666283
543.8276,0.04703537
545.756,0.04813982
547.6845,0.04954835
549.613,0.05038106
551.5414,0.05104071
553.4699,0.05233283
555.3984,0.05291728
557.3268,0.05344878
559.2553,0.05449356
561.1838,0.05556947
563.1122,0.05644987
565.0407,0.05739702
566.9692,0.05918966
568.8976,0.06148326
570.8261,0.06422179
572.7546,0.06751751
574.683,0.07199414
576.6115,0.07753882
578.54,0.08521991
580.4684,0.09598704
582.3969,0.1108028
584.3254,0.1314083
586.2538,0.1629929
588.1823,0.2107749
590.1108,0.2797145
592.0392,0.3608373
593.9677,0.4083605
595.8962,0.3839626
597.8246,0.3268028
599.7531,0.2841959
601.6816,0.2673472
603.61,0.2565075
605.5385,0.2255914
607.467,0.1799575
609.3954,0.1371055
611.3239,0.105097
613.2524,0.0857169
615.1808,0.07680835
617.1093,0.07526168
619.0378,0.07972364
620.9662,0.09011535
622.8947,0.1053625
624.8232,0.1195363
626.7516,0.1243206
628.6801,0.1205397
630.6086,0.1148972
632.537,0.1106842
634.4655,0.1082879
636.394,0.1072252
638.3224,0.1066867
640.2509,0.1061872
642.1794,0.104991
644.1078,0.1031005
646.0363,0.1004388
647.9648,0.09623615
649.8932,0.09082976
651.8217,0.08497608
653.7502,0.079251
655.6786,0.07406054
657.6071,0.06961635
659.5356,0.0662876
661.4641,0.06374434
663.3925,0.06166789
665.321,0.06013281
667.2495,0.05896787
669.1779,0.05804995
671.1064,0.05752682
673.0349,0.0572238
674.9633,0.05700085
676.8918,0.05695492
678.8203,0.05723807
680.7487,0.05774868
682.6772,0.05833893
684.6057,0.05914346
686.5341,0.06014368
688.4626,0.06110772
690.3911,0.06236672
692.3195,0.06410963
694.248,0.06565079
696.1765,0.06724296
698.1049,0.06902315
700.0334,0.07138603
701.9619,0.07389452
703.8903,0.07710912
705.8188,0.08065055
707.7473,0.08474302
709.6757,0.08993846
711.6042,0.09634416
713.5327,0.1037651
715.4611,0.112522
717.3896,0.123204
719.3181,0.1360899
721.2465,0.1509797
723.175,0.1675227
725.1035,0.1842254
727.0319,0.1980947
728.9604,0.2068446
730.8889,0.2081541
732.8173,0.2024108
734.7458,0.1915572
736.6743,0.177857
738.6027,0.1631878
740.5312,0.1497454
742.4597,0.1381579
744.3881,0.1287006
746.3166,0.1219344
748.2451,0.1176283
750.1735,0.1152729
752.102,0.1148365
754.0305,0.1159962
755.9589,0.1186955
757.8874,0.1227349
759.8159,0.1276077
761.7443,0.1330608
763.6728,0.1393705
765.6013,0.1462553
767.5297,0.1532807
769.4582,0.1599265
771.3867,0.1660597
773.3151,0.1707381
775.2436,0.1738975
777.1721,0.1751764
779.1005,0.1740709
781.029,0.1703565
782.9575,0.164584
784.8859,0.1576174
786.8144,0.1504602
788.7429,0.1432405
790.6713,0.1366933
792.5998,0.1308325
794.5283,0.1257475
796.4567,0.1218939
798.3852,0.1190946
800.3137,0.1171561
802.2421,0.1162218
804.1706,0.1163359
806.0991,0.1173886
808.0275,0.1195035
809.956,0.1227267
811.8845,0.1269255
813.8129,0.1321011
815.7414,0.1382148
817.6699,0.145441
819.5983,0.1540578
821.5268,0.1640919
823.4553,0.17505
825.3837,0.1871827
827.3122,0.2006645
829.2407,0.2146283
831.1691,0.2289601
833.0976,0.2438888
835.0261,0.2601915
836.9545,0.2778724
838.883,0.2959786
840.8115,0.3123071
842.7399,0.3242705
844.6684,0.3291402
846.5969,0.3261551
848.5253,0.3178245
850.4538,0.3071655
852.3823,0.2972737
854.3107,0.2909732
856.2392,0.2890886
858.1677,0.2916726
860.0961,0.2970628
862.0246,0.3033668
863.9531,0.3086581
865.8815,0.3118569
867.81,0.312033
869.7385,0.30805
871.6669,0.3004175
873.5954,0.2898735
875.5239,0.2773453
877.4523,0.2639887
879.3808,0.2506355
881.3093,0.2384048
883.2377,0.2276683
885.1662,0.2184645
887.0947,0.2106964
889.0231,0.2036762
890.9516,0.1968463
892.8801,0.1898328
894.8085,0.1826272
896.737,0.1746473
898.6655,0.1662862
900.5939,0.1581225
902.5224,0.1500244
904.4509,0.1423117
906.3793,0.1353164
908.3078,0.1292031
910.2363,0.1239562
912.1647,0.1196602
914.0932,0.1164302
916.0217,0.1141434
917.9501,0.1127852
919.8786,0.1123548
921.8071,0.1128871
923.7355,0.1141728
925.664,0.1161012
927.5925,0.1186786
929.5209,0.1218757
931.4494,0.1255266
933.3779,0.1296622
935.3063,0.134153
937.2348,0.1386118
939.1633,0.1423735
941.0917,0.1444384
943.0202,0.1434358
944.9487,0.1390799
946.8771,0.1319279
948.8056,0.1226494
950.7341,0.1127475
952.6625,0.1031879
954.591,0.09452708
956.5195,0.08719076
958.4479,0.08127856
960.3764,0.07700966
962.3049,0.07403527
964.2333,0.07268547
