x,y
399.1926,0.145387
401.1211,0.1452482
403.0495,0.1441686
404.978,0.1459662
406.9065,0.1473469
408.8349,0.1477263
410.7634,0.1480725
412.6919,0.1504647
414.6203,0.1529817
416.5488,0.156068
418.4773,0.1591675
420.4057,0.1599266
422.3342,0.1596824
424.2627,0.1623649
426.1911,0.1660946
428.1196,0.1684841
430.0481,0.1686464
431.9765,0.1682641
433.905,0.1682356
435.8335,0.1670607
437.7619,0.1646606
439.6904,0.16106
441.6189,0.1574127
443.5473,0.1540118
445.4758,0.151157
447.4043,0.1499628
449.3327,0.1499642
451.2612,0.1487406
453.1897,0.1471356
455.1181,0.1461975
457.0466,0.1444907
458.9751,0.1432988
460.9035,0.1435537
462.832,0.1435805
464.7605,0.1432739
466.6889,0.1433352
468.6174,0.1424709
470.5459,0.1420823
472.4743,0.1422167
474.4028,0.1423099
476.3313,0.1420299
478.2597,0.1406852
480.1882,0.1389161
482.1167,0.1368752
484.0451,0.1345008
485.9736,0.1320677
487.9021,0.1290734
489.8305,0.1260731
491.759,0.1232406
493.6875,0.1211874
495.6159,0.1195764
497.5444,0.1182914
499.4729,0.1173962
501.4013,0.1168352
503.3298,0.1153326
505.2583,0.1137492
507.1867,0.1123562
509.1152,0.1097905
511.0437,0.1066667
512.9721,0.1039708
514.9006,0.1011354
516.829,0.0977501
518.7575,0.09490555
520.686,0.09249383
522.6144,0.08930832
524.5429,0.08580521
526.4714,0.08289213
528.3998,0.08031547
530.3283,0.07787889
532.2568,0.07590085
534.1852,0.07439795
536.1137,0.07249267
538.0422,0.07070394
539.9706,0.06860824
541.8991,0.06645682
543.8276,0.06502546
545.756,0.06428606
547.6845,0.06364914
549.613,0.06347671
551.5414,0.06371737
553.4699,0.06402727
555.3984,0.06364935
557.3268,0.06246209
559.2553,0.0609857
561.1838,0.05951379
563.1122,0.05854231
565.0407,0.05833949
566.9692,0.05831728
568.8976,0.05895111
570.8261,0.06014724
572.7546,0.06130425
574.683,0.06296293
576.6115,0.06461685
578.54,0.06634973
580.4684,0.06816917
582.3969,0.0703733
584.3254,0.07287908
586.2538,0.07550455
588.1823,0.07781266
590.1108,0.08002429
592.0392,0.08232985
