x,y
399.1926,0.3168526
401.1211,0.3271834
403.0495,0.3362696
404.978,0.3363511
406.9065,0.3245582
408.8349,0.3107461
410.7634,0.3008866
412.6919,0.2945988
414.6203,0.289037
416.5488,0.289145
418.4773,0.2895939
420.4057,0.287769
422.3342,0.2868428
424.2627,0.2894681
426.1911,0.2944919
428.1196,0.2987834
430.0481,0.3024566
431.9765,0.3102601
433.905,0.3208741
435.8335,0.3297288
437.7619,0.3327327
439.6904,0.33263
441.6189,0.3365123
443.5473,0.3362778
445.4758,0.3357593
447.4043,0.3332113
449.3327,0.3281901
451.2612,0.3259988
453.1897,0.3225066
455.1181,0.3175228
457.0466,0.3116946
458.9751,0.3080912
460.9035,0.3049569
462.832,0.2972344
464.7605,0.2885329
466.6889,0.2827016
468.6174,0.276684
470.5459,0.2702489
472.4743,0.2636515
474.4028,0.2565508
476.3313,0.2498631
478.2597,0.2452958
480.1882,0.2419117
482.1167,0.2372961
484.0451,0.2326512
485.9736,0.2282068
487.9021,0.2239979
489.8305,0.2202625
491.759,0.2168791
493.6875,0.2134056
495.6159,0.2100329
497.5444,0.2070215
499.4729,0.20321
501.4013,0.1994626
503.3298,0.1964299
505.2583,0.1948044
507.1867,0.1942712
509.1152,0.193916
511.0437,0.1939246
512.9721,0.1943146
514.9006,0.1951681
516.829,0.1958452
518.7575,0.1958076
520.686,0.1951971
522.6144,0.1932935
524.5429,0.1903556
526.4714,0.1863774
528.3998,0.1822038
530.3283,0.1782516
532.2568,0.1740567
534.1852,0.1691777
536.1137,0.1638899
538.0422,0.159216
539.9706,0.154688
541.8991,0.1501247
543.8276,0.1453132
545.756,0.1410733
547.6845,0.1368435
549.613,0.1325847
551.5414,0.1288143
553.4699,0.1249379
555.3984,0.1205956
557.3268,0.1162561
559.2553,0.1113854
561.1838,0.1062407
563.1122,0.1015572
565.0407,0.09664322
566.9692,0.0914817
568.8976,0.08662396
570.8261,0.08248288
572.7546,0.07846933
574.683,0.07471785
576.6115,0.07077201
578.54,0.06702901
580.4684,0.0637206
582.3969,0.06108634
584.3254,0.05879739
586.2538,0.05684812
588.1823,0.05511701
590.1108,0.05392386
592.0392,0.05350716
593.9677,0.05351997
595.8962,0.05352559
597.8246,0.05363475
599.7531,0.0538663
601.6816,0.05408671
603.61,0.05419924
605.5385,0.05442486
607.467,0.05453229
609.3954,0.0545899
611.3239,0.05504053
613.2524,0.05546645
615.1808,0.05586476
617.1093,0.05649631
619.0378,0.05719978
620.9662,0.0581683
622.8947,0.05933728
624.8232,0.06035049
626.7516,0.06162254
628.6801,0.06318362
630.6086,0.06514024
632.537,0.06691892
634.4655,0.06850441
636.394,0.07014883
638.3224,0.0715649
640.2509,0.07251535
642.1794,0.07296269
644.1078,0.0730921
646.0363,0.07306963
647.9648,0.07286855
649.8932,0.07270198
651.8217,0.07264489
653.7502,0.07278356
655.6786,0.07314462
657.6071,0.07336083
659.5356,0.07352265
661.4641,0.07404979
663.3925,0.07475734
665.321,0.07566331
667.2495,0.07725135
669.1779,0.07945359
671.1064,0.08206946
673.0349,0.08519544
674.9633,0.088486
676.8918,0.09147009
678.8203,0.0937892
680.7487,0.09508005
682.6772,0.09533704
684.6057,0.09444357
686.5341,0.09272576
688.4626,0.09076357
690.3911,0.08878566
692.3195,0.08703574
694.248,0.08556923
696.1765,0.0846296
698.1049,0.08394357
700.0334,0.08345634
701.9619,0.08280005
703.8903,0.08187793
705.8188,0.08058947
707.7473,0.07878888
709.6757,0.07690322
711.6042,0.07534266
713.5327,0.07374051
715.4611,0.07219119
717.3896,0.07095312
719.3181,0.07011265
721.2465,0.06993125
723.175,0.07042078
725.1035,0.07127149
727.0319,0.07215488
728.9604,0.0731208
730.8889,0.07401207
732.8173,0.07487922
734.7458,0.07570026
736.6743,0.07656949
738.6027,0.07722785
740.5312,0.07772674
742.4597,0.07794835
744.3881,0.0779422
746.3166,0.07766656
748.2451,0.0773821
750.1735,0.07748105
752.102,0.07773444
754.0305,0.07840749
755.9589,0.0795065
757.8874,0.08074155
759.8159,0.08218351
761.7443,0.08379962
763.6728,0.08515157
765.6013,0.08610652
767.5297,0.08688004
769.4582,0.08732626
771.3867,0.08752845
773.3151,0.0876728
775.2436,0.08803903
777.1721,0.08864497
779.1005,0.08955774
781.029,0.09084637
782.9575,0.09259236
784.8859,0.09480321
786.8144,0.09751125
788.7429,0.1008275
790.6713,0.10452
792.5998,0.1082855
794.5283,0.112276
796.4567,0.1164512
798.3852,0.1207145
800.3137,0.1248968
802.2421,0.1285662
804.1706,0.131836
806.0991,0.1348477
808.0275,0.1376017
809.956,0.1399549
811.8845,0.1416947
813.8129,0.1428838
815.7414,0.143742
817.6699,0.144239
819.5983,0.1442665
821.5268,0.1443973
823.4553,0.1451233
825.3837,0.1464202
827.3122,0.1485578
829.2407,0.1517127
831.1691,0.1558351
833.0976,0.160414
835.0261,0.1655037
836.9545,0.1711007
838.883,0.176864
840.8115,0.1828702
842.7399,0.1892007
844.6684,0.1955081
846.5969,0.2015405
848.5253,0.2074456
850.4538,0.2130475
852.3823,0.2183172
854.3107,0.2232856
856.2392,0.2278545
858.1677,0.232456
860.0961,0.2367002
862.0246,0.2405928
863.9531,0.2439738
865.8815,0.2470366
867.81,0.2496278
869.7385,0.2518111
871.6669,0.2534743
873.5954,0.2544869
875.5239,0.2549976
877.4523,0.2548845
879.3808,0.2545083
881.3093,0.2547194
883.2377,0.2557279
885.1662,0.2574875
887.0947,0.2599225
889.0231,0.2629136
890.9516,0.266334
892.8801,0.270123
894.8085,0.2741035
896.737,0.2781802
898.6655,0.2824604
900.5939,0.2868222
902.5224,0.2910849
904.4509,0.2950516
906.3793,0.2986322
908.3078,0.3020783
910.2363,0.3052133
912.1647,0.3081724
914.0932,0.3109702
916.0217,0.314127
917.9501,0.3177594
919.8786,0.3221213
921.8071,0.327249
923.7355,0.3330257
925.664,0.3387418
927.5925,0.3435278
929.5209,0.347201
931.4494,0.3497197
933.3779,0.350892
935.3063,0.3510402
937.2348,0.3502206
939.1633,0.3487766
941.0917,0.3470506
943.0202,0.3449263
944.9487,0.3426864
946.8771,0.340309
948.8056,0.3376549
950.7341,0.33511
952.6625,0.3326915
954.591,0.3300206
956.5195,0.3273038
958.4479,0.3246399
960.3764,0.3217845
962.3049,0.3186149
964.2333,0.3153988
966.1618,0.3120691
968.0903,0.3084707
970.0187,0.3046403
971.9472,0.3002411
973.8757,0.2952133
975.8041,0.2899983
977.7326,0.2845766
979.6611,0.2784123
981.5895,0.2715633
983.518,0.2643272
985.4465,0.2569818
987.3749,0.2493889
989.3034,0.2414954
991.2319,0.2332946
993.1603,0.2250355
995.0888,0.2170868
997.0173,0.2093592
998.9457,0.2018889
1000.874,0.1946993
1002.803,0.1879181
1004.731,0.1817869
1006.66,0.176055
1008.588,0.1708274
1010.517,0.166315
1012.445,0.1623563
1014.373,0.1590175
1016.302,0.1561792
1018.23,0.1537768
1020.159,0.151766
1022.087,0.1498204
1024.016,0.1481045
1025.944,0.1466476
1027.873,0.1450929
1029.801,0.1433195
1031.73,0.1416358
1033.658,0.1400436
1035.587,0.1384448
