x,y
374.1225,0.2636724
376.051,0.2751252
377.9795,0.2731449
379.9079,0.2654431
381.8364,0.2725306
383.7649,0.2824091
385.6933,0.2815341
387.6218,0.2842665
389.5503,0.2866037
391.4787,0.2879392
393.4072,0.2880177
395.3357,0.2858623
397.2641,0.2877904
399.1926,0.2946352
401.1211,0.3061195
403.0495,0.3119384
404.978,0.3090725
406.9065,0.3140076
408.8349,0.3163471
410.7634,0.3214768
412.6919,0.3243862
414.6203,0.3180271
416.5488,0.3151209
418.4773,0.317128
420.4057,0.3133564
422.3342,0.3036071
424.2627,0.2966796
426.1911,0.293169
428.1196,0.2889197
430.0481,0.2792198
431.9765,0.2644558
433.905,0.2511986
435.8335,0.2355953
437.7619,0.2195051
439.6904,0.2061087
441.6189,0.1978689
443.5473,0.1963146
445.4758,0.2011226
447.4043,0.2098106
449.3327,0.2222064
451.2612,0.2372373
453.1897,0.249817
455.1181,0.2604195
457.0466,0.2701905
458.9751,0.2778691
460.9035,0.2849817
462.832,0.2930079
464.7605,0.2972026
466.6889,0.2986069
468.6174,0.2991576
470.5459,0.2976568
472.4743,0.2937832
474.4028,0.2908276
476.3313,0.2880825
478.2597,0.2848379
480.1882,0.2811796
482.1167,0.2768785
484.0451,0.2717914
485.9736,0.2643627
487.9021,0.2567534
489.8305,0.249668
491.759,0.2429924
493.6875,0.2373698
495.6159,0.2318254
497.5444,0.2284854
499.4729,0.2271459
501.4013,0.2269522
503.3298,0.2284925
505.2583,0.2326862
507.1867,0.2376506
509.1152,0.2426276
511.0437,0.2501139
512.9721,0.2588004
514.9006,0.2666103
516.829,0.2740199
518.7575,0.280833
520.686,0.2867186
522.6144,0.2908186
524.5429,0.2934737
526.4714,0.2956471
528.3998,0.2966165
530.3283,0.2959836
532.2568,0.2941194
534.1852,0.2907587
536.1137,0.287309
538.0422,0.2826389
539.9706,0.2773842
541.8991,0.2719257
543.8276,0.266763
545.756,0.2619098
547.6845,0.2567645
549.613,0.2529936
551.5414,0.2502019
553.4699,0.2474275
555.3984,0.2445991
557.3268,0.2426823
559.2553,0.241396
561.1838,0.2399832
563.1122,0.2388783
565.0407,0.238464
566.9692,0.2373387
568.8976,0.2355825
570.8261,0.2344061
572.7546,0.232561
574.683,0.2308807
576.6115,0.2287211
578.54,0.2255633
580.4684,0.2224403
582.3969,0.2203755
584.3254,0.2184343
586.2538,0.2165753
588.1823,0.2149046
590.1108,0.213266
592.0392,0.2120637
593.9677,0.2114121
595.8962,0.2120951
597.8246,0.2134514
599.7531,0.2147164
601.6816,0.2159323
603.61,0.2167104
605.5385,0.2163981
607.467,0.215683
609.3954,0.214801
611.3239,0.2147031
613.2524,0.2159546
