x,y
374.1225,0.1563853
376.051,0.1693707
377.9795,0.1848124
379.9079,0.1842791
381.8364,0.1964371
383.7649,0.2064914
385.6933,0.2092919
387.6218,0.2073014
389.5503,0.211667
391.4787,0.2223051
393.4072,0.2247773
395.3357,0.2190132
397.2641,0.2232188
399.1926,0.2309389
401.1211,0.234485
403.0495,0.2357753
404.978,0.2390181
406.9065,0.2382737
408.8349,0.2483938
410.7634,0.2520322
412.6919,0.2471936
414.6203,0.2501532
416.5488,0.2529997
418.4773,0.2571582
420.4057,0.2602144
422.3342,0.2650865
424.2627,0.2736306
426.1911,0.2771756
428.1196,0.2761943
430.0481,0.2765981
431.9765,0.2747609
433.905,0.2716345
435.8335,0.2651168
437.7619,0.2605145
439.6904,0.2592658
441.6189,0.2552852
443.5473,0.2503214
445.4758,0.2472036
447.4043,0.2451119
449.3327,0.2452037
451.2612,0.2466829
453.1897,0.2461786
455.1181,0.2452804
457.0466,0.2437885
458.9751,0.2417717
460.9035,0.2369528
462.832,0.2311407
464.7605,0.2257258
466.6889,0.2199747
468.6174,0.2142697
470.5459,0.2090488
472.4743,0.2051513
474.4028,0.2020085
476.3313,0.1998134
478.2597,0.1991511
480.1882,0.1985532
482.1167,0.1978409
484.0451,0.1981686
485.9736,0.1995928
487.9021,0.2016509
489.8305,0.2023929
491.759,0.2014069
493.6875,0.1999557
495.6159,0.1977544
497.5444,0.196048
499.4729,0.1940423
501.4013,0.1912917
503.3298,0.1884249
505.2583,0.1850603
507.1867,0.1820611
509.1152,0.1774937
511.0437,0.1724595
512.9721,0.1677336
514.9006,0.1619538
516.829,0.1551756
518.7575,0.1486773
520.686,0.1429859
522.6144,0.1373281
524.5429,0.1321842
526.4714,0.1269945
528.3998,0.1218593
530.3283,0.1170933
532.2568,0.1126097
534.1852,0.1088148
536.1137,0.1047888
538.0422,0.1005652
539.9706,0.09583621
541.8991,0.09018508
543.8276,0.08392916
545.756,0.07795352
547.6845,0.07226888
549.613,0.06649416
551.5414,0.0612727
553.4699,0.05643246
555.3984,0.05170187
557.3268,0.04772532
559.2553,0.04419845
561.1838,0.04059614
563.1122,0.03703758
565.0407,0.03409548
566.9692,0.03144267
568.8976,0.02884161
570.8261,0.02700846
572.7546,0.02546314
574.683,0.02408139
576.6115,0.02284777
578.54,0.02191961
580.4684,0.0209963
582.3969,0.02035086
584.3254,0.01968782
586.2538,0.01919869
588.1823,0.0186727
590.1108,0.0182812
592.0392,0.01834369
593.9677,0.01833803
595.8962,0.01862017
597.8246,0.01910361
599.7531,0.01951572
601.6816,0.02000477
603.61,0.02066881
605.5385,0.02127155
607.467,0.02201115
609.3954,0.02262945
611.3239,0.02331183
613.2524,0.02370309
615.1808,0.02425703
617.1093,0.02496301
619.0378,0.02536628
620.9662,0.02562622
622.8947,0.02576954
624.8232,0.02588491
626.7516,0.0261815
628.6801,0.02640013
630.6086,0.02675977
632.537,0.02739157
634.4655,0.02812434
636.394,0.02915147
638.3224,0.0306966
640.2509,0.03261074
642.1794,0.03472223
644.1078,0.03729868
646.0363,0.0402358
647.9648,0.0435038
649.8932,0.04732745
651.8217,0.05171303
653.7502,0.05666359
655.6786,0.06238774
657.6071,0.06856381
659.5356,0.07443862
661.4641,0.07933937
663.3925,0.08195383
665.321,0.08174125
667.2495,0.07903932
669.1779,0.07356883
671.1064,0.06615415
673.0349,0.0587284
674.9633,0.05209338
676.8918,0.04636748
678.8203,0.04197249
680.7487,0.03895858
682.6772,0.03712237
684.6057,0.03581739
686.5341,0.03507062
688.4626,0.03477452
690.3911,0.03497714
692.3195,0.03557745
694.248,0.0364566
696.1765,0.03769656
698.1049,0.03902849
700.0334,0.04057154
701.9619,0.0421618
703.8903,0.04414511
705.8188,0.04627099
707.7473,0.04830635
709.6757,0.05000678
711.6042,0.05106279
713.5327,0.05100594
715.4611,0.05000567
717.3896,0.04911904
719.3181,0.04893067
721.2465,0.04950116
723.175,0.05086876
725.1035,0.05340324
727.0319,0.05655983
728.9604,0.06021566
730.8889,0.06413417
732.8173,0.06715295
734.7458,0.06831949
736.6743,0.06703845
738.6027,0.06333552
740.5312,0.05823759
742.4597,0.05279773
744.3881,0.04776439
746.3166,0.04341127
748.2451,0.03949574
750.1735,0.03641397
752.102,0.03422774
754.0305,0.03275217
755.9589,0.03182518
757.8874,0.03135141
759.8159,0.03113524
761.7443,0.03090461
763.6728,0.03062569
765.6013,0.03047005
767.5297,0.03061792
769.4582,0.03090764
771.3867,0.03137363
773.3151,0.03201044
775.2436,0.03283153
777.1721,0.03370906
779.1005,0.03448763
781.029,0.03502955
782.9575,0.03533484
784.8859,0.0354711
786.8144,0.03542427
788.7429,0.03537928
790.6713,0.03551396
792.5998,0.03542556
794.5283,0.03505693
796.4567,0.03492403
798.3852,0.03488965
800.3137,0.03487401
802.2421,0.0347753
804.1706,0.03483238
806.0991,0.03527892
808.0275,0.03594857
809.956,0.03689394
811.8845,0.03799802
813.8129,0.03917702
815.7414,0.04041857
817.6699,0.04182435
819.5983,0.04340807
821.5268,0.04515718
823.4553,0.04691854
825.3837,0.04861085
827.3122,0.0505783
829.2407,0.0526827
831.1691,0.05471599
833.0976,0.05679001
835.0261,0.05903175
836.9545,0.06123843
838.883,0.06359256
840.8115,0.06592496
842.7399,0.06811657
844.6684,0.07038278
846.5969,0.0725263
848.5253,0.07470099
850.4538,0.07713017
852.3823,0.07977117
854.3107,0.08264143
856.2392,0.08577102
858.1677,0.08924544
860.0961,0.09273475
862.0246,0.09641585
863.9531,0.1004975
865.8815,0.1050345
867.81,0.1097886
869.7385,0.1147696
871.6669,0.1204039
873.5954,0.1266837
875.5239,0.1337524
877.4523,0.1417933
879.3808,0.1507315
881.3093,0.1602945
883.2377,0.1702459
885.1662,0.1803162
887.0947,0.1903579
889.0231,0.1998542
890.9516,0.2086005
892.8801,0.2164422
894.8085,0.2233765
896.737,0.2297246
898.6655,0.2361226
900.5939,0.242199
902.5224,0.2478344
904.4509,0.2532587
906.3793,0.2585851
908.3078,0.263428
910.2363,0.2673073
912.1647,0.27038
914.0932,0.2719596
916.0217,0.27211
917.9501,0.2715527
919.8786,0.2709752
921.8071,0.2710521
923.7355,0.2716005
925.664,0.2726424
927.5925,0.2744443
929.5209,0.2763336
931.4494,0.2786845
933.3779,0.2822067
935.3063,0.2865971
937.2348,0.2912318
939.1633,0.2963296
941.0917,0.3019446
943.0202,0.307797
944.9487,0.3135848
946.8771,0.3193028
948.8056,0.3247182
950.7341,0.3291275
952.6625,0.3321604
954.591,0.3334872
956.5195,0.3329602
958.4479,0.3313086
960.3764,0.3284754
962.3049,0.3249456
964.2333,0.3210061
966.1618,0.3168228
968.0903,0.3124603
970.0187,0.3079509
971.9472,0.3033107
973.8757,0.2983384
975.8041,0.2929464
977.7326,0.2867021
979.6611,0.2794446
981.5895,0.2717532
983.518,0.2635878
985.4465,0.254892
987.3749,0.2460222
989.3034,0.2368106
991.2319,0.2272215
993.1603,0.2181423
995.0888,0.2094605
997.0173,0.2009883
998.9457,0.1926851
1000.874,0.1843383
1002.803,0.1764972
1004.731,0.1693467
1006.66,0.1624839
1008.588,0.155917
1010.517,0.1500708
1012.445,0.1447877
1014.373,0.140084
1016.302,0.1357649
1018.23,0.1318283
1020.159,0.1283873
1022.087,0.1254851
1024.016,0.1232649
1025.944,0.1218389
1027.873,0.1212503
1029.801,0.1215843
1031.73,0.122847
1033.658,0.1248309
1035.587,0.127001
1037.515,0.1291573
1039.443,0.1309265
1041.372,0.1320261
1043.3,0.1328138
1045.229,0.1332468
1047.157,0.1332926
1049.086,0.1336542
1051.014,0.1344868
1052.943,0.1357015
1054.871,0.1371536
1056.8,0.138849
1058.728,0.1405876
1060.657,0.1422548
1062.585,0.1437367
1064.514,0.1448174
1066.442,0.1456445
1068.37,0.1462952
1070.299,0.1466965
1072.227,0.1468044
1074.156,0.1464136
1076.084,0.1451637
1078.013,0.1429591
1079.941,0.1398104
1081.87,0.1355674
1083.798,0.1302425
1085.727,0.1241276
1087.655,0.1172151
1089.584,0.1098368
1091.512,0.1022414
