x,y
374.1225,0.1922761
376.051,0.1966117
377.9795,0.2096654
379.9079,0.2086098
381.8364,0.2192961
383.7649,0.2335119
385.6933,0.2393132
387.6218,0.2451912
389.5503,0.2540207
391.4787,0.2597418
393.4072,0.2528312
395.3357,0.2435461
397.2641,0.2459932
399.1926,0.2415236
401.1211,0.2215864
403.0495,0.2095202
404.978,0.2031261
406.9065,0.1909839
408.8349,0.1792199
410.7634,0.170404
412.6919,0.1632517
414.6203,0.1581551
416.5488,0.1532182
418.4773,0.1486899
420.4057,0.1446356
422.3342,0.1410258
424.2627,0.1390644
426.1911,0.1384467
428.1196,0.1389585
430.0481,0.1403684
431.9765,0.1423805
433.905,0.1463315
435.8335,0.1484834
437.7619,0.1488611
439.6904,0.1499306
441.6189,0.1501912
443.5473,0.1492538
445.4758,0.1491972
447.4043,0.1485636
449.3327,0.1477916
451.2612,0.1476099
453.1897,0.1464003
455.1181,0.1440528
457.0466,0.140599
458.9751,0.1369078
460.9035,0.1323954
462.832,0.1279105
464.7605,0.1238338
466.6889,0.1219527
468.6174,0.1213629
470.5459,0.1219837
472.4743,0.1240354
474.4028,0.1266024
476.3313,0.1283923
478.2597,0.1288687
480.1882,0.1273327
482.1167,0.1226145
484.0451,0.1142919
485.9736,0.1052903
487.9021,0.09850649
489.8305,0.09386361
491.759,0.09126826
493.6875,0.09086621
495.6159,0.09283534
497.5444,0.09630407
499.4729,0.1012799
501.4013,0.1074092
503.3298,0.1131993
505.2583,0.1188149
507.1867,0.1244352
509.1152,0.1284429
511.0437,0.1298303
512.9721,0.1281408
514.9006,0.1228893
516.829,0.1152448
518.7575,0.1063814
520.686,0.09691703
522.6144,0.08792845
524.5429,0.07952709
526.4714,0.07203757
528.3998,0.06542299
530.3283,0.05913008
532.2568,0.05416882
534.1852,0.05084255
536.1137,0.0480511
538.0422,0.04625369
539.9706,0.0454636
541.8991,0.04499248
543.8276,0.04495492
545.756,0.04563957
547.6845,0.0467381
549.613,0.04782661
551.5414,0.04929343
553.4699,0.05070759
555.3984,0.05255551
557.3268,0.05539191
559.2553,0.058264
561.1838,0.06051679
563.1122,0.06316219
565.0407,0.06640927
566.9692,0.06943275
568.8976,0.07271408
570.8261,0.07663649
572.7546,0.08093383
574.683,0.08503562
576.6115,0.08943525
578.54,0.09422237
580.4684,0.09954795
582.3969,0.1050391
584.3254,0.1100666
586.2538,0.1145657
588.1823,0.1182523
590.1108,0.1207911
592.0392,0.1214837
593.9677,0.1202206
595.8962,0.1171657
597.8246,0.1129599
599.7531,0.1080756
601.6816,0.1028248
603.61,0.0974971
605.5385,0.09216037
607.467,0.08640569
609.3954,0.07953591
611.3239,0.07148439
613.2524,0.06269903
615.1808,0.05426161
617.1093,0.04731663
619.0378,0.04190708
620.9662,0.03767901
622.8947,0.03432623
624.8232,0.03179565
626.7516,0.03024423
628.6801,0.02898265
630.6086,0.02807792
632.537,0.02754239
634.4655,0.02721841
636.394,0.02705105
638.3224,0.02676105
640.2509,0.02661842
642.1794,0.02643113
644.1078,0.02644612
646.0363,0.0264662
647.9648,0.02655257
649.8932,0.02673877
651.8217,0.02682519
653.7502,0.02683876
655.6786,0.02707971
657.6071,0.02718907
659.5356,0.0272047
661.4641,0.02725078
663.3925,0.02723081
665.321,0.02731926
667.2495,0.02750755
669.1779,0.02747544
671.1064,0.02725295
673.0349,0.02721591
674.9633,0.02733415
676.8918,0.02752899
678.8203,0.0277892
680.7487,0.02798285
682.6772,0.02820884
684.6057,0.02841893
686.5341,0.02876018
688.4626,0.02918593
690.3911,0.02958998
692.3195,0.03002733
694.248,0.03069009
696.1765,0.03123393
698.1049,0.03166823
700.0334,0.0320927
701.9619,0.03242908
703.8903,0.03267312
705.8188,0.03301159
707.7473,0.0333455
709.6757,0.03367204
711.6042,0.0340598
713.5327,0.03441449
715.4611,0.03468835
717.3896,0.03500015
719.3181,0.03540734
721.2465,0.03580098
723.175,0.03603938
725.1035,0.03634253
727.0319,0.03641137
728.9604,0.03645431
730.8889,0.03680772
732.8173,0.03710119
734.7458,0.03744049
736.6743,0.0378181
738.6027,0.0379744
740.5312,0.03821681
742.4597,0.03857603
744.3881,0.03888359
746.3166,0.03919573
748.2451,0.03950276
750.1735,0.03985178
752.102,0.04029072
754.0305,0.04080728
755.9589,0.04130004
757.8874,0.04179315
759.8159,0.04221253
761.7443,0.04270807
763.6728,0.04335871
765.6013,0.04429629
767.5297,0.04527494
769.4582,0.04606277
771.3867,0.04672887
773.3151,0.04759288
775.2436,0.0486575
777.1721,0.04980414
779.1005,0.05095102
781.029,0.05201082
782.9575,0.0531018
784.8859,0.05446147
786.8144,0.05582255
788.7429,0.05727685
790.6713,0.05896435
792.5998,0.06085635
794.5283,0.06299795
796.4567,0.06535107
798.3852,0.06805882
800.3137,0.07129978
802.2421,0.07485989
804.1706,0.07867454
806.0991,0.08318866
808.0275,0.08841778
809.956,0.09441561
811.8845,0.1012398
813.8129,0.1086783
815.7414,0.115691
817.6699,0.1207262
819.5983,0.1220018
821.5268,0.1190336
823.4553,0.1140558
825.3837,0.1104337
827.3122,0.110236
829.2407,0.1132758
831.1691,0.1185855
833.0976,0.1253589
835.0261,0.1333565
836.9545,0.1423555
838.883,0.1517946
840.8115,0.1609495
842.7399,0.1688463
844.6684,0.1740846
846.5969,0.1744054
848.5253,0.1687854
850.4538,0.1577513
852.3823,0.1429053
854.3107,0.1271413
856.2392,0.1134165
858.1677,0.1040195
860.0961,0.09942628
862.0246,0.09916081
863.9531,0.1015702
865.8815,0.1036802
867.81,0.1026698
869.7385,0.09930108
871.6669,0.09704493
873.5954,0.09752019
875.5239,0.1005921
877.4523,0.1057453
879.3808,0.1125377
881.3093,0.12064
883.2377,0.1297161
885.1662,0.1394111
887.0947,0.1488031
889.0231,0.1564601
890.9516,0.1601848
892.8801,0.1585313
894.8085,0.1514664
896.737,0.1403392
898.6655,0.1276349
900.5939,0.1162555
902.5224,0.1087955
904.4509,0.1064757
906.3793,0.1089663
908.3078,0.1144412
910.2363,0.1206044
912.1647,0.1247485
914.0932,0.1240374
916.0217,0.1175575
917.9501,0.1066196
919.8786,0.09394824
921.8071,0.08237837
923.7355,0.07381818
925.664,0.06850255
927.5925,0.06608424
929.5209,0.0661459
931.4494,0.06838557
933.3779,0.07249232
935.3063,0.07798706
937.2348,0.08449707
939.1633,0.09163611
941.0917,0.09872489
943.0202,0.1049576
944.9487,0.1093167
946.8771,0.1101782
948.8056,0.1067947
950.7341,0.09919861
952.6625,0.08897603
954.591,0.07845312
956.5195,0.06976604
958.4479,0.06388959
960.3764,0.06044594
962.3049,0.05904187
964.2333,0.05920963
966.1618,0.06055386
968.0903,0.06290781
970.0187,0.06644116
971.9472,0.07109401
973.8757,0.07678993
975.8041,0.08382862
977.7326,0.09190491
979.6611,0.1003307
981.5895,0.1077456
983.518,0.1114533
985.4465,0.108239
987.3749,0.09685303
989.3034,0.08065664
991.2319,0.06498779
993.1603,0.05320504
995.0888,0.04544514
997.0173,0.04033343
998.9457,0.03701704
1000.874,0.03481315
1002.803,0.0333919
1004.731,0.03245315
1006.66,0.03184948
1008.588,0.03151808
1010.517,0.03122046
1012.445,0.03100511
1014.373,0.03104202
1016.302,0.03094515
1018.23,0.03080286
1020.159,0.03076527
1022.087,0.03091165
1024.016,0.03122472
1025.944,0.03153226
1027.873,0.03171163
1029.801,0.03182384
1031.73,0.03188461
1033.658,0.03210951
1035.587,0.03228572
1037.515,0.03253162
1039.443,0.03270686
1041.372,0.03264214
1043.3,0.03251982
1045.229,0.03246318
1047.157,0.03229162
1049.086,0.03220195
1051.014,0.03206643
1052.943,0.03199122
1054.871,0.03184752
1056.8,0.03162786
1058.728,0.03151743
1060.657,0.03165881
1062.585,0.03171528
1064.514,0.03159821
1066.442,0.031501
1068.37,0.03165323
1070.299,0.03175213
1072.227,0.03179941
1074.156,0.03176813
1076.084,0.03170972
1078.013,0.03180611
1079.941,0.03196746
1081.87,0.03191357
1083.798,0.03176412
1085.727,0.03169923
1087.655,0.03164242
1089.584,0.03167228
1091.512,0.03166624
1093.441,0.03168717
1095.369,0.03166248
1097.297,0.03143731
1099.226,0.0313333
1101.154,0.03120694
1103.083,0.03122719
1105.011,0.03126345
1106.94,0.03119468
1108.868,0.0311905
1110.797,0.0312319
1112.725,0.03128848
1114.654,0.03142262
1116.582,0.03154032
1118.511,0.03164107
1120.439,0.03160132
1122.368,0.03164453
1124.296,0.0316964
1126.224,0.03183829
1128.153,0.03212637
1130.081,0.03238176
1132.01,0.03256372
1133.938,0.03281153
1135.867,0.03302369
1137.795,0.03317505
1139.724,0.03347027
1141.652,0.0339371
1143.581,0.03445035
1145.509,0.03479171
1147.438,0.03504856
1149.366,0.03556054
1151.295,0.03606388
1153.223,0.03649609
1155.151,0.03694994
1157.08,0.03725595
1159.008,0.03747064
1160.937,0.03767772
1162.865,0.03750606
1164.794,0.03709347
1166.722,0.03672098
1168.651,0.03635491
1170.579,0.03590654
1172.508,0.03532761
1174.436,0.03475712
1176.365,0.03427279
1178.293,0.03383526
1180.222,0.03347235
1182.15,0.03318283
1184.078,0.03284194
1186.007,0.03261079
1187.935,0.03244958
1189.864,0.03226061
1191.792,0.03204946
1193.721,0.03185201
1195.649,0.03164016
1197.578,0.03151633
1199.506,0.03145393
1201.435,0.03132832
1203.363,0.03118502
1205.292,0.0310158
1207.22,0.03117396
1209.149,0.03127163
1211.077,0.03123476
1213.005,0.03107593
1214.934,0.03100356
1216.862,0.03109267
1218.791,0.03124488
1220.719,0.03133855
1222.648,0.03134483
1224.576,0.03117811
1226.505,0.0310939
1228.433,0.03117869
1230.362,0.03115477
1232.29,0.03115149
1234.219,0.03120471
1236.147,0.03116018
1238.076,0.03113828
1240.004,0.0311907
1241.932,0.03125879
1243.861,0.03128741
1245.789,0.03139904
1247.718,0.0314419
1249.646,0.03137143
1251.575,0.03147569
1253.503,0.03162964
1255.432,0.03168862
1257.36,0.03177377
1259.289,0.03186956
1261.217,0.03195641
1263.146,0.03201499
1265.074,0.03209182
1267.003,0.03206767
1268.931,0.0320782
1270.859,0.03224148
1272.788,0.03243203
1274.716,0.0325824
1276.645,0.03272793
1278.573,0.03287742
1280.502,0.03305329
1282.43,0.03314203
1284.359,0.03314029
1286.287,0.03329423
1288.216,0.03336231
1290.144,0.03335454
1292.073,0.03355281
1294.001,0.03368278
1295.93,0.03378906
1297.858,0.0338414
1299.786,0.03387453
1301.715,0.03398474
1303.643,0.03409826
1305.572,0.03413289
1307.5,0.03410993
1309.429,0.03415342
1311.357,0.03426971
1313.286,0.03435407
1315.214,0.03426304
1317.143,0.03422006
1319.071,0.03429614
1321.0,0.03438142
1322.928,0.03445274
1324.857,0.0345176
1326.785,0.03460005
1328.714,0.03465576
1330.642,0.03473917
1332.57,0.0348387
1334.499,0.03492383
1336.427,0.0350098
1338.356,0.03509998
1340.284,0.03518726
1342.213,0.03530918
1344.141,0.03535007
1346.07,0.03547187
1347.998,0.03559109
1349.927,0.03562009
1351.855,0.03566089
1353.784,0.03570895
1355.712,0.03579199
1357.641,0.03604065
1359.569,0.03621382
1361.497,0.03631354
1363.426,0.03635441
1365.354,0.03641598
1367.283,0.03653453
1369.211,0.03660936
1371.14,0.0366674
1373.068,0.03680877
1374.997,0.03699904
1376.925,0.03711709
1378.854,0.03724827
1380.782,0.03727592
1382.711,0.03722644
1384.639,0.03738039
1386.568,0.03750232
1388.496,0.03746263
1390.424,0.03750628
1392.353,0.03767402
1394.281,0.03795812
1396.21,0.03807588
1398.138,0.0381307
1400.067,0.03820404
1401.995,0.03828412
1403.924,0.03837621
1405.852,0.03847104
1407.781,0.0386509
1409.709,0.03885951
1411.638,0.0389355
1413.566,0.03891513
1415.495,0.03895397
1417.423,0.03915087
1419.351,0.03930438
1421.28,0.03931757
1423.208,0.03944803
1425.137,0.03946333
1427.065,0.03953956
1428.994,0.03970449
1430.922,0.03974897
1432.851,0.0398244
1434.779,0.04010383
1436.708,0.04045638
1438.636,0.0403567
1440.565,0.04024793
1442.493,0.04029401
1444.422,0.04037325
1446.35,0.04055023
1448.278,0.04071697
