x,y
374.1225,0.1474263
376.051,0.1437703
377.9795,0.1278262
379.9079,0.1008427
381.8364,0.07783058
383.7649,0.06364328
385.6933,0.05356948
387.6218,0.04857991
389.5503,0.04943561
391.4787,0.05290249
393.4072,0.05741905
395.3357,0.06424326
397.2641,0.07168427
399.1926,0.0779044
401.1211,0.08684471
403.0495,0.103576
404.978,0.1208112
406.9065,0.1341687
408.8349,0.1440867
410.7634,0.1537535
412.6919,0.1642389
414.6203,0.1703444
416.5488,0.1737648
418.4773,0.1695546
420.4057,0.1510444
422.3342,0.1250258
424.2627,0.1008761
426.1911,0.08305376
428.1196,0.07117102
430.0481,0.06602842
431.9765,0.06472355
433.905,0.06591796
435.8335,0.06809495
437.7619,0.0714107
439.6904,0.07735137
441.6189,0.08473708
443.5473,0.09335531
445.4758,0.1043966
447.4043,0.115267
449.3327,0.1240712
451.2612,0.1352735
453.1897,0.1484621
455.1181,0.1625795
457.0466,0.1776547
458.9751,0.1924373
460.9035,0.1993061
462.832,0.1949703
464.7605,0.1791282
466.6889,0.1562682
468.6174,0.1339253
470.5459,0.1150295
472.4743,0.1035331
474.4028,0.09930023
476.3313,0.1021057
478.2597,0.1123708
480.1882,0.1219139
482.1167,0.1131598
484.0451,0.09176363
485.9736,0.07846576
487.9021,0.07622226
489.8305,0.07868111
491.759,0.08375869
493.6875,0.08989968
495.6159,0.09601499
497.5444,0.1030414
499.4729,0.1105925
501.4013,0.1181852
503.3298,0.1258918
505.2583,0.134826
507.1867,0.1443325
509.1152,0.1532548
511.0437,0.1637719
512.9721,0.1740283
514.9006,0.1804592
516.829,0.1861752
518.7575,0.1952343
520.686,0.2064642
522.6144,0.2178957
524.5429,0.2303418
526.4714,0.2433262
528.3998,0.256235
530.3283,0.2702702
532.2568,0.2842412
534.1852,0.2990659
536.1137,0.3137557
538.0422,0.3251601
539.9706,0.3343242
541.8991,0.3400957
543.8276,0.3408321
545.756,0.3363171
547.6845,0.3266404
549.613,0.3131886
551.5414,0.2970752
553.4699,0.2770491
555.3984,0.2533467
557.3268,0.2297973
559.2553,0.2074942
561.1838,0.1887914
563.1122,0.1782924
565.0407,0.1806106
566.9692,0.193263
568.8976,0.2047615
570.8261,0.205439
572.7546,0.1955367
574.683,0.1828377
576.6115,0.1705022
578.54,0.1593001
580.4684,0.1492512
582.3969,0.1392363
584.3254,0.1283991
586.2538,0.1171744
588.1823,0.1052628
590.1108,0.09283123
592.0392,0.08020785
593.9677,0.06783511
595.8962,0.05721681
597.8246,0.04886534
599.7531,0.04305984
601.6816,0.03962184
603.61,0.03780959
605.5385,0.03690282
607.467,0.03679668
609.3954,0.03724648
611.3239,0.03882591
613.2524,0.04139022
615.1808,0.04552849
617.1093,0.05210752
619.0378,0.06023401
620.9662,0.06642205
622.8947,0.06925099
624.8232,0.07240762
626.7516,0.07976428
628.6801,0.09216665
630.6086,0.1079205
632.537,0.1220003
634.4655,0.127296
636.394,0.1197028
638.3224,0.1021508
640.2509,0.08155609
642.1794,0.06459531
644.1078,0.0548204
646.0363,0.05121152
647.9648,0.05169603
649.8932,0.05448416
651.8217,0.05879033
653.7502,0.06484392
655.6786,0.07292137
657.6071,0.08247461
659.5356,0.09292782
661.4641,0.1034179
663.3925,0.1125418
665.321,0.1196764
667.2495,0.1258394
669.1779,0.1323188
671.1064,0.1401746
673.0349,0.1503291
674.9633,0.1623681
676.8918,0.1747924
678.8203,0.1871706
680.7487,0.1997903
682.6772,0.2125702
684.6057,0.2255469
686.5341,0.2387671
688.4626,0.2513237
690.3911,0.2621208
692.3195,0.2706794
694.248,0.2761003
696.1765,0.2771138
698.1049,0.2728416
700.0334,0.265531
701.9619,0.2580072
703.8903,0.2532488
705.8188,0.2506811
707.7473,0.2488772
709.6757,0.247275
711.6042,0.2457774
713.5327,0.2445319
715.4611,0.2442115
717.3896,0.2454893
719.3181,0.2479672
721.2465,0.2508458
723.175,0.2533288
725.1035,0.2548101
727.0319,0.2541261
728.9604,0.2514908
730.8889,0.2472038
732.8173,0.2407082
734.7458,0.2326367
736.6743,0.2235217
738.6027,0.213865
740.5312,0.2047955
742.4597,0.1966253
744.3881,0.1898784
746.3166,0.185112
748.2451,0.1823687
750.1735,0.1824983
752.102,0.1857185
754.0305,0.1915721
755.9589,0.1993176
757.8874,0.2082078
759.8159,0.2175485
761.7443,0.2270939
763.6728,0.2372904
765.6013,0.2481959
767.5297,0.2596933
769.4582,0.2715916
771.3867,0.2838697
773.3151,0.2954795
775.2436,0.3053923
777.1721,0.3120318
779.1005,0.3139583
781.029,0.3116381
782.9575,0.3064575
784.8859,0.2992039
786.8144,0.2907151
788.7429,0.2812743
790.6713,0.2710642
792.5998,0.2605286
794.5283,0.2498168
796.4567,0.2400651
798.3852,0.2309808
800.3137,0.22275
802.2421,0.2156921
804.1706,0.2094369
806.0991,0.203504
808.0275,0.1977045
809.956,0.1920728
811.8845,0.186531
813.8129,0.1810169
815.7414,0.1755522
817.6699,0.1702494
819.5983,0.1651885
821.5268,0.1603411
823.4553,0.1554787
825.3837,0.1506665
827.3122,0.1462714
829.2407,0.1422168
831.1691,0.1383069
833.0976,0.1341307
835.0261,0.1300257
836.9545,0.1256881
838.883,0.1212182
840.8115,0.1166183
842.7399,0.1118218
844.6684,0.1070883
846.5969,0.1019384
848.5253,0.09661572
850.4538,0.09159914
852.3823,0.08668823
854.3107,0.0819298
856.2392,0.07716332
858.1677,0.07274304
860.0961,0.06802037
862.0246,0.06314311
863.9531,0.05853902
865.8815,0.05444543
867.81,0.05059846
869.7385,0.04703992
871.6669,0.04431907
873.5954,0.04232252
875.5239,0.04103296
877.4523,0.04044285
879.3808,0.04049778
881.3093,0.0412726
883.2377,0.04265431
885.1662,0.04499554
887.0947,0.04826769
889.0231,0.05207349
890.9516,0.05650572
892.8801,0.06131925
894.8085,0.06613368
896.737,0.07022026
898.6655,0.07332505
900.5939,0.0747707
902.5224,0.07402365
904.4509,0.07109828
906.3793,0.06676984
908.3078,0.06145291
910.2363,0.05592084
912.1647,0.05117476
914.0932,0.04735572
916.0217,0.04451614
917.9501,0.04269274
919.8786,0.0415585
921.8071,0.04097541
923.7355,0.0408981
925.664,0.04134112
927.5925,0.04225722
929.5209,0.04362046
931.4494,0.04543067
933.3779,0.04789481
935.3063,0.05072096
937.2348,0.05373642
939.1633,0.057091
941.0917,0.06089865
943.0202,0.06513059
944.9487,0.0699371
946.8771,0.0753605
948.8056,0.08165172
