x,y
374.1225,0.1689023
376.051,0.1663099
377.9795,0.1658919
379.9079,0.1487751
381.8364,0.1385689
383.7649,0.1382265
385.6933,0.1293766
387.6218,0.1158407
389.5503,0.1090526
391.4787,0.1096529
393.4072,0.1062224
395.3357,0.1002006
397.2641,0.0960831
399.1926,0.09136061
401.1211,0.08862313
403.0495,0.08360228
404.978,0.07892708
406.9065,0.0748338
408.8349,0.0706374
410.7634,0.06539489
412.6919,0.06220973
414.6203,0.05880329
416.5488,0.05504591
418.4773,0.05326363
420.4057,0.05020128
422.3342,0.04646004
424.2627,0.04375297
426.1911,0.04121766
428.1196,0.03897767
430.0481,0.03663432
431.9765,0.03399569
433.905,0.03261519
435.8335,0.0307016
437.7619,0.02908295
439.6904,0.02841643
441.6189,0.02766958
443.5473,0.02659933
445.4758,0.02608937
447.4043,0.02580231
449.3327,0.02577795
451.2612,0.02626013
453.1897,0.02545482
455.1181,0.02425239
457.0466,0.0242519
458.9751,0.02413478
460.9035,0.02356395
462.832,0.02361554
464.7605,0.02350634
466.6889,0.02318056
468.6174,0.02305429
470.5459,0.02296557
472.4743,0.02286684
474.4028,0.02230521
476.3313,0.02166357
478.2597,0.02119998
480.1882,0.02084121
482.1167,0.02051017
484.0451,0.01993819
485.9736,0.01954827
487.9021,0.01975249
489.8305,0.01913392
491.759,0.01858137
493.6875,0.0182357
495.6159,0.01764663
497.5444,0.01723155
499.4729,0.01680535
501.4013,0.01679801
503.3298,0.01653017
505.2583,0.01598172
507.1867,0.01602645
509.1152,0.01575682
511.0437,0.01545645
512.9721,0.01532664
514.9006,0.01505584
516.829,0.01482929
518.7575,0.01482611
520.686,0.01473493
522.6144,0.01482643
524.5429,0.01485719
526.4714,0.01479194
528.3998,0.01461388
530.3283,0.01435655
532.2568,0.01406086
534.1852,0.01409596
536.1137,0.01400443
538.0422,0.0140243
539.9706,0.01418017
541.8991,0.01404003
543.8276,0.01354491
545.756,0.01329169
547.6845,0.0131109
549.613,0.01284915
551.5414,0.01285297
553.4699,0.0125786
555.3984,0.01221178
557.3268,0.01229826
559.2553,0.01243759
561.1838,0.01225781
563.1122,0.01207554
565.0407,0.01206933
566.9692,0.01172567
568.8976,0.01115996
570.8261,0.01101694
572.7546,0.01086072
574.683,0.01086922
576.6115,0.01092379
578.54,0.01087485
580.4684,0.0107658
582.3969,0.01084297
584.3254,0.01071613
586.2538,0.01065241
588.1823,0.01059001
590.1108,0.01046797
592.0392,0.01033755
593.9677,0.01012881
595.8962,0.01004291
597.8246,0.01019376
599.7531,0.0102189
601.6816,0.01007009
603.61,0.01009225
605.5385,0.01007978
607.467,0.01009846
609.3954,0.0102307
611.3239,0.01023951
613.2524,0.01007434
615.1808,0.01010251
617.1093,0.01037125
619.0378,0.01048179
620.9662,0.01043847
622.8947,0.01039941
624.8232,0.010348
626.7516,0.0103843
628.6801,0.01034978
630.6086,0.0104197
632.537,0.01066924
634.4655,0.0106983
636.394,0.01075332
