x,y
374.1225,0.03453172
376.051,0.03612153
377.9795,0.03538051
379.9079,0.02968314
381.8364,0.02186412
383.7649,0.02419341
385.6933,0.02671663
387.6218,0.02501043
389.5503,0.02471017
391.4787,0.02589376
393.4072,0.02324394
395.3357,0.02190931
397.2641,0.02271119
399.1926,0.02284459
401.1211,0.02118216
403.0495,0.02158189
404.978,0.0233177
406.9065,0.02367277
408.8349,0.02128385
410.7634,0.02039911
412.6919,0.0209966
414.6203,0.02123984
416.5488,0.02114391
418.4773,0.02265485
420.4057,0.02258966
422.3342,0.02164668
424.2627,0.02216052
426.1911,0.02251216
428.1196,0.02272728
430.0481,0.02291589
431.9765,0.02204556
433.905,0.02206011
435.8335,0.02168021
437.7619,0.02149921
439.6904,0.02180647
441.6189,0.02211992
443.5473,0.02206844
445.4758,0.02255062
447.4043,0.02334627
449.3327,0.02358055
451.2612,0.02470661
453.1897,0.02474614
455.1181,0.02372356
457.0466,0.0238341
458.9751,0.02429474
460.9035,0.02441797
462.832,0.02502773
464.7605,0.02548592
466.6889,0.02570609
468.6174,0.02617162
470.5459,0.0264102
472.4743,0.0266263
474.4028,0.02653015
476.3313,0.02644109
478.2597,0.02685662
480.1882,0.02737712
482.1167,0.0277172
484.0451,0.028017
485.9736,0.02832755
487.9021,0.02931422
489.8305,0.02978056
491.759,0.03004086
493.6875,0.03037712
495.6159,0.03067714
497.5444,0.0310412
499.4729,0.03151821
501.4013,0.03221734
503.3298,0.03276564
505.2583,0.03306543
507.1867,0.03378268
509.1152,0.03429363
511.0437,0.03502882
512.9721,0.03565135
514.9006,0.0362238
516.829,0.03701821
518.7575,0.03806985
520.686,0.03911073
522.6144,0.04021617
524.5429,0.041536
526.4714,0.04281839
528.3998,0.04386076
530.3283,0.0448637
532.2568,0.04560403
534.1852,0.04643415
536.1137,0.0471
538.0422,0.04805038
539.9706,0.04893338
541.8991,0.04893831
543.8276,0.04877322
545.756,0.04912021
547.6845,0.0489652
549.613,0.04842862
551.5414,0.04825801
553.4699,0.04772187
555.3984,0.04699082
557.3268,0.04622873
559.2553,0.04525425
561.1838,0.0442542
563.1122,0.04336013
565.0407,0.04259604
566.9692,0.04152853
568.8976,0.04045195
570.8261,0.03965417
572.7546,0.03920722
574.683,0.03878701
576.6115,0.03844439
578.54,0.03820756
580.4684,0.03782098
582.3969,0.03780244
584.3254,0.03799379
586.2538,0.03823773
588.1823,0.03836725
590.1108,0.03841036
592.0392,0.03863025
593.9677,0.03893941
595.8962,0.03924867
597.8246,0.03980036
599.7531,0.04029604
601.6816,0.04081759
603.61,0.0416444
605.5385,0.04216984
607.467,0.04269548
609.3954,0.04363764
611.3239,0.04481863
613.2524,0.04568379
615.1808,0.04648879
617.1093,0.04769156
619.0378,0.04893798
620.9662,0.04988153
622.8947,0.05079994
624.8232,0.05203407
626.7516,0.05344127
628.6801,0.0547364
630.6086,0.05616495
632.537,0.05810735
634.4655,0.06012401
636.394,0.06221263
638.3224,0.06417626
640.2509,0.06588177
642.1794,0.06735141
644.1078,0.06866173
646.0363,0.06963274
647.9648,0.07032183
649.8932,0.070814
651.8217,0.07076284
653.7502,0.07053911
655.6786,0.07050236
657.6071,0.07048437
659.5356,0.07033713
661.4641,0.07023074
663.3925,0.0702979
665.321,0.07057796
667.2495,0.07091968
669.1779,0.07084917
671.1064,0.07080383
673.0349,0.07131904
674.9633,0.07282439
676.8918,0.07542623
678.8203,0.07515708
680.7487,0.06914712
682.6772,0.06116251
684.6057,0.05364748
686.5341,0.04767808
688.4626,0.04400339
690.3911,0.04291803
692.3195,0.0448098
