x,y
374.1225,0.2019423
376.051,0.2071968
377.9795,0.2291963
379.9079,0.2208032
381.8364,0.216177
383.7649,0.2352712
385.6933,0.2425743
387.6218,0.2370567
389.5503,0.2397287
391.4787,0.2535612
393.4072,0.2572781
395.3357,0.2577674
397.2641,0.2723373
399.1926,0.2823304
401.1211,0.2900782
403.0495,0.2862971
404.978,0.2801123
406.9065,0.2772298
408.8349,0.2722029
410.7634,0.2632169
412.6919,0.2518624
414.6203,0.2426269
416.5488,0.2353978
418.4773,0.2335715
420.4057,0.2299139
422.3342,0.225595
424.2627,0.2202494
426.1911,0.2147043
428.1196,0.2115465
430.0481,0.2089273
431.9765,0.2040371
433.905,0.2004583
435.8335,0.200092
437.7619,0.1993986
439.6904,0.1996022
441.6189,0.2032774
443.5473,0.2083221
445.4758,0.2113594
447.4043,0.2133211
449.3327,0.2145838
451.2612,0.2161057
453.1897,0.2164303
455.1181,0.2149026
457.0466,0.2146833
458.9751,0.2146193
460.9035,0.2125502
462.832,0.2104534
464.7605,0.206596
466.6889,0.2020088
468.6174,0.1976152
470.5459,0.1920693
472.4743,0.1861229
474.4028,0.1810381
476.3313,0.1758561
478.2597,0.1711538
480.1882,0.1650539
482.1167,0.1578072
484.0451,0.1498412
485.9736,0.1411999
487.9021,0.1338057
489.8305,0.1282276
491.759,0.1244996
493.6875,0.1225206
495.6159,0.1216661
497.5444,0.1217772
499.4729,0.1226335
501.4013,0.1246137
503.3298,0.1264991
505.2583,0.1269086
507.1867,0.1246702
509.1152,0.118841
511.0437,0.1124313
512.9721,0.1082725
514.9006,0.10719
516.829,0.1090779
518.7575,0.1137127
520.686,0.1192764
522.6144,0.1255636
524.5429,0.1330772
526.4714,0.1410993
528.3998,0.1494939
530.3283,0.1588213
532.2568,0.1689777
534.1852,0.1792249
536.1137,0.1881184
538.0422,0.1955765
539.9706,0.2014233
541.8991,0.2054589
543.8276,0.2077759
545.756,0.2077335
547.6845,0.2053561
549.613,0.2008708
551.5414,0.1950762
553.4699,0.1873973
555.3984,0.1787164
557.3268,0.1707548
559.2553,0.163428
561.1838,0.1566402
563.1122,0.1504495
565.0407,0.1450177
566.9692,0.1402192
568.8976,0.1356066
570.8261,0.1312836
572.7546,0.1270678
574.683,0.1229556
576.6115,0.1185522
578.54,0.1139259
580.4684,0.1089984
582.3969,0.1038337
584.3254,0.09854597
586.2538,0.09325556
