x,y
374.1225,0.0558505
376.051,0.05608685
377.9795,0.05460748
379.9079,0.06041147
381.8364,0.06273338
383.7649,0.06545762
385.6933,0.06570138
387.6218,0.06825188
389.5503,0.07229978
391.4787,0.07398239
393.4072,0.07458542
395.3357,0.07602315
397.2641,0.08048726
399.1926,0.08183395
401.1211,0.0793468
403.0495,0.08157665
404.978,0.08524963
406.9065,0.08663245
408.8349,0.08745159
410.7634,0.08958866
412.6919,0.09289682
414.6203,0.09512345
416.5488,0.09730276
418.4773,0.09876417
420.4057,0.1005789
422.3342,0.1034981
424.2627,0.1054032
426.1911,0.1066508
428.1196,0.1080845
430.0481,0.1104163
431.9765,0.1134565
433.905,0.1145208
435.8335,0.115819
437.7619,0.1173204
439.6904,0.1186041
441.6189,0.1211606
443.5473,0.1240111
445.4758,0.1249878
447.4043,0.1266914
449.3327,0.1284131
451.2612,0.1297653
453.1897,0.1314751
455.1181,0.1337284
457.0466,0.1349057
458.9751,0.1360777
460.9035,0.1372734
462.832,0.1384448
464.7605,0.1395059
466.6889,0.1404529
468.6174,0.1414942
470.5459,0.142859
472.4743,0.143979
474.4028,0.1443846
476.3313,0.1444688
478.2597,0.1455763
480.1882,0.1477593
482.1167,0.1490714
484.0451,0.1499745
485.9736,0.1509117
487.9021,0.15149
489.8305,0.1523542
491.759,0.1534131
493.6875,0.1543677
495.6159,0.1550874
497.5444,0.1561424
499.4729,0.1569849
501.4013,0.1581547
503.3298,0.1589937
505.2583,0.1604527
507.1867,0.1617771
509.1152,0.1615705
511.0437,0.1627499
512.9721,0.1643995
514.9006,0.1650456
516.829,0.1655101
518.7575,0.1656392
520.686,0.1662788
522.6144,0.1670422
524.5429,0.1677016
526.4714,0.1686344
528.3998,0.1693666
530.3283,0.1704909
532.2568,0.1712269
534.1852,0.171493
536.1137,0.1719924
538.0422,0.1730692
539.9706,0.1738772
541.8991,0.1746895
543.8276,0.1756388
545.756,0.1757117
547.6845,0.1764929
549.613,0.1770908
551.5414,0.1777109
553.4699,0.1784254
555.3984,0.1787281
557.3268,0.1802024
559.2553,0.1814518
561.1838,0.1815026
563.1122,0.1816263
565.0407,0.1827333
566.9692,0.1836699
568.8976,0.1844819
570.8261,0.1853893
572.7546,0.1856325
574.683,0.1866333
576.6115,0.1872485
578.54,0.1883412
580.4684,0.1897904
582.3969,0.1907157
584.3254,0.1912863
586.2538,0.1925931
588.1823,0.1939487
590.1108,0.1952042
592.0392,0.1966925
593.9677,0.1978701
595.8962,0.198443
597.8246,0.1983665
599.7531,0.198043
601.6816,0.1974195
