x,y
374.1225,0.001194564
376.051,0.00264605
377.9795,-0.003833528
379.9079,-0.005687389
381.8364,-0.004997894
383.7649,-0.005272537
385.6933,-0.006407683
387.6218,-0.003209754
389.5503,-0.001089673
391.4787,-0.001442495
393.4072,-0.001187668
395.3357,4.924644e-05
397.2641,0.002384444
399.1926,0.003508708
401.1211,0.001742855
403.0495,0.002253513
404.978,0.003369768
406.9065,0.002951128
408.8349,0.003380446
410.7634,0.006419953
412.6919,0.007288815
414.6203,0.007016381
416.5488,0.008316912
418.4773,0.009477002
420.4057,0.009804291
422.3342,0.01059526
424.2627,0.01148012
426.1911,0.01301997
428.1196,0.01477258
430.0481,0.01658689
431.9765,0.01973332
433.905,0.02294699
435.8335,0.02743452
437.7619,0.03257879
439.6904,0.0367551
441.6189,0.04095801
443.5473,0.04547074
445.4758,0.05074125
447.4043,0.05924335
449.3327,0.06967566
451.2612,0.08118597
453.1897,0.09582195
455.1181,0.1157061
457.0466,0.140704
458.9751,0.1691438
460.9035,0.1980793
462.832,0.2309019
464.7605,0.2691737
466.6889,0.3087127
468.6174,0.3442417
470.5459,0.3709703
472.4743,0.384867
474.4028,0.3797444
476.3313,0.3506918
478.2597,0.3086655
480.1882,0.2675072
482.1167,0.2348679
484.0451,0.2108352
485.9736,0.1946481
487.9021,0.184067
489.8305,0.1737476
491.759,0.1597026
493.6875,0.1417887
495.6159,0.1224194
497.5444,0.1039018
499.4729,0.0880296
501.4013,0.0752254
503.3298,0.06390183
505.2583,0.05369633
507.1867,0.04517685
509.1152,0.03900327
511.0437,0.03457148
512.9721,0.03097084
514.9006,0.02772239
516.829,0.02599652
518.7575,0.02540053
520.686,0.02486287
522.6144,0.02426019
524.5429,0.02371934
526.4714,0.0232442
528.3998,0.02223513
530.3283,0.02089684
532.2568,0.01931399
534.1852,0.01733632
536.1137,0.01599136
538.0422,0.01569383
539.9706,0.01593813
541.8991,0.01582657
543.8276,0.01525515
545.756,0.01477319
547.6845,0.01470377
549.613,0.01479617
551.5414,0.01501322
553.4699,0.01506556
555.3984,0.01506343
557.3268,0.01559623
559.2553,0.01635078
561.1838,0.01679427
563.1122,0.01697355
565.0407,0.01709209
566.9692,0.01748025
568.8976,0.01831692
570.8261,0.01908531
572.7546,0.01964436
574.683,0.02018339
576.6115,0.02062592
578.54,0.02108618
580.4684,0.02184023
582.3969,0.02290358
584.3254,0.02405468
586.2538,0.02490098
588.1823,0.02567156
590.1108,0.02679979
592.0392,0.028218
593.9677,0.02959141
595.8962,0.03077202
597.8246,0.03200492
599.7531,0.03370588
601.6816,0.03556907
603.61,0.037427
605.5385,0.03990232
607.467,0.04250425
609.3954,0.0437728
611.3239,0.04343196
613.2524,0.04293283
615.1808,0.04344103
617.1093,0.04491661
619.0378,0.04672905
620.9662,0.0484261
622.8947,0.04996718
624.8232,0.05207174
626.7516,0.05448957
628.6801,0.05703874
630.6086,0.05938997
632.537,0.06182341
634.4655,0.06439763
636.394,0.06709682
638.3224,0.07031982
640.2509,0.07379761
642.1794,0.07729297
644.1078,0.08054522
646.0363,0.08348534
647.9648,0.08661276
649.8932,0.09054416
651.8217,0.09515019
653.7502,0.1000673
655.6786,0.1051756
657.6071,0.1104387
659.5356,0.1156037
661.4641,0.1203192
663.3925,0.124986
665.321,0.1298688
667.2495,0.1347778
669.1779,0.1396374
671.1064,0.1444001
673.0349,0.1496024
674.9633,0.1553573
676.8918,0.161755
678.8203,0.168528
680.7487,0.1755578
682.6772,0.1832484
684.6057,0.1913529
686.5341,0.1997694
688.4626,0.2087862
690.3911,0.2179467
692.3195,0.2272288
694.248,0.236827
696.1765,0.2466707
698.1049,0.2565583
700.0334,0.2667168
701.9619,0.2772652
703.8903,0.2878643
705.8188,0.2985616
707.7473,0.3091016
709.6757,0.3190112
711.6042,0.3294889
713.5327,0.3409928
715.4611,0.3530408
717.3896,0.3653025
719.3181,0.3776494
721.2465,0.3898948
723.175,0.4022745
725.1035,0.4143103
727.0319,0.4252308
728.9604,0.4350535
730.8889,0.4447863
732.8173,0.4543148
734.7458,0.463995
736.6743,0.4743792
738.6027,0.4863271
740.5312,0.4993525
742.4597,0.5127032
744.3881,0.5261859
746.3166,0.5400557
748.2451,0.5542444
750.1735,0.5685726
752.102,0.5829589
754.0305,0.5983096
755.9589,0.6129717
757.8874,0.62734
759.8159,0.6406669
761.7443,0.6538412
763.6728,0.6668507
765.6013,0.6776783
767.5297,0.6851569
769.4582,0.6906705
771.3867,0.6947418
773.3151,0.6986616
775.2436,0.703063
777.1721,0.707621
779.1005,0.7093379
781.029,0.7076679
782.9575,0.7031721
784.8859,0.6944834
786.8144,0.6779764
788.7429,0.6515036
790.6713,0.6124877
792.5998,0.5554558
794.5283,0.4794773
796.4567,0.4007447
798.3852,0.3404112
800.3137,0.3047436
802.2421,0.2836517
804.1706,0.2654316
806.0991,0.2458013
808.0275,0.2262763
809.956,0.2082513
811.8845,0.1918605
