x,y
374.1225,0.2195232
376.051,0.2062927
377.9795,0.2041291
379.9079,0.209938
381.8364,0.2155141
383.7649,0.2182374
385.6933,0.2158695
387.6218,0.2144867
389.5503,0.2137111
391.4787,0.2095868
393.4072,0.208329
395.3357,0.2097585
397.2641,0.2152792
399.1926,0.2149041
401.1211,0.2150978
403.0495,0.2092376
404.978,0.2069231
406.9065,0.2140153
408.8349,0.2210297
410.7634,0.2212418
412.6919,0.2238492
414.6203,0.2292975
416.5488,0.2307416
418.4773,0.2300189
420.4057,0.231819
422.3342,0.2329204
424.2627,0.2349494
426.1911,0.2353556
428.1196,0.2362633
430.0481,0.2375719
431.9765,0.2384088
433.905,0.2393698
435.8335,0.2415986
437.7619,0.243752
439.6904,0.2436082
441.6189,0.2443161
443.5473,0.2476138
445.4758,0.2485944
447.4043,0.2491138
449.3327,0.2491954
451.2612,0.2475454
453.1897,0.2446881
455.1181,0.2426064
457.0466,0.2388025
458.9751,0.2354564
460.9035,0.2315872
462.832,0.2278475
464.7605,0.2242955
466.6889,0.2203257
468.6174,0.2164612
470.5459,0.212526
472.4743,0.2096684
474.4028,0.2067659
476.3313,0.2042255
478.2597,0.2030931
480.1882,0.2012628
482.1167,0.1987675
484.0451,0.1966215
485.9736,0.1952231
487.9021,0.1944688
489.8305,0.1930595
491.759,0.1906257
493.6875,0.1876476
495.6159,0.1843389
497.5444,0.1816332
499.4729,0.1786183
501.4013,0.1756718
503.3298,0.172497
505.2583,0.1687026
507.1867,0.1646766
509.1152,0.1605477
511.0437,0.1566329
512.9721,0.1524418
514.9006,0.1480934
516.829,0.1444853
518.7575,0.1403921
520.686,0.1357906
522.6144,0.1318717
524.5429,0.1285979
526.4714,0.1257632
528.3998,0.122957
530.3283,0.1200729
532.2568,0.1172933
534.1852,0.1152061
536.1137,0.1128353
538.0422,0.1101419
539.9706,0.1081416
541.8991,0.1059701
543.8276,0.1024699
545.756,0.09792745
547.6845,0.09393599
549.613,0.09068521
551.5414,0.0874256
553.4699,0.08369068
555.3984,0.08019502
557.3268,0.07740006
559.2553,0.07482482
561.1838,0.07250743
563.1122,0.07015067
565.0407,0.06820399
566.9692,0.06689472
568.8976,0.06608333
570.8261,0.06516007
572.7546,0.06416904
574.683,0.06349996
576.6115,0.06279044
578.54,0.06238431
580.4684,0.06217243
582.3969,0.06222375
584.3254,0.06247669
586.2538,0.0626881
588.1823,0.06272949
590.1108,0.06297813
592.0392,0.06351461
593.9677,0.06400275
595.8962,0.06400488
597.8246,0.06429154
599.7531,0.06474981
601.6816,0.06520186
603.61,0.06588699
605.5385,0.06710643
607.467,0.06833874
609.3954,0.06919392
611.3239,0.07014174
613.2524,0.07100926
615.1808,0.07159486
617.1093,0.07223606
619.0378,0.07291956
620.9662,0.07394776
622.8947,0.07484538
624.8232,0.07577174
626.7516,0.07714103
628.6801,0.078741
630.6086,0.08064676
632.537,0.08266345
634.4655,0.0846456
636.394,0.08673903
638.3224,0.0888424
640.2509,0.09089494
642.1794,0.0925362
644.1078,0.09398121
646.0363,0.0951195
647.9648,0.09548455
649.8932,0.0952009
651.8217,0.09442285
653.7502,0.09311866
655.6786,0.09152165
657.6071,0.0899452
659.5356,0.08847626
661.4641,0.08710472
663.3925,0.08559973
665.321,0.08444396
667.2495,0.08349705
669.1779,0.08228198
671.1064,0.08089635
673.0349,0.07948108
674.9633,0.07814869
676.8918,0.0769779
678.8203,0.07605125
680.7487,0.07540268
682.6772,0.07518646
684.6057,0.07512976
686.5341,0.07516037
688.4626,0.0751788
690.3911,0.07530557
692.3195,0.07545488
694.248,0.07545968
696.1765,0.07487448
698.1049,0.07384714
700.0334,0.0728416
701.9619,0.07203117
703.8903,0.07177339
705.8188,0.07204103
707.7473,0.07224444
709.6757,0.07241676
711.6042,0.07296426
713.5327,0.0735781
715.4611,0.07433576
717.3896,0.07507425
719.3181,0.07556365
721.2465,0.07590201
723.175,0.07619886
725.1035,0.07639754
727.0319,0.07620471
728.9604,0.07597614
730.8889,0.07595152
732.8173,0.0761668
734.7458,0.076682
736.6743,0.07757807
738.6027,0.07868251
740.5312,0.08008928
742.4597,0.08166392
744.3881,0.08331032
746.3166,0.08470454
748.2451,0.08581994
750.1735,0.08717396
752.102,0.08865383
754.0305,0.08976505
755.9589,0.09050702
757.8874,0.09099585
759.8159,0.09089456
761.7443,0.09018559
763.6728,0.08892002
765.6013,0.08757133
767.5297,0.08645839
769.4582,0.0852809
771.3867,0.08438519
773.3151,0.08396405
775.2436,0.08395925
777.1721,0.08386548
779.1005,0.08309541
781.029,0.08155049
782.9575,0.07953706
784.8859,0.07782421
786.8144,0.07674925
788.7429,0.07627865
790.6713,0.07621662
792.5998,0.07648765
794.5283,0.07716834
796.4567,0.07813565
798.3852,0.07863574
800.3137,0.07792129
802.2421,0.07626175
804.1706,0.07418562
806.0991,0.07206357
808.0275,0.07045946
809.956,0.06977784
811.8845,0.06984831
813.8129,0.07036323
815.7414,0.0711857
817.6699,0.07239043
819.5983,0.07384416
821.5268,0.07544386
823.4553,0.07733886
825.3837,0.07963746
827.3122,0.08233389
829.2407,0.08501458
831.1691,0.08773425
833.0976,0.09088252
835.0261,0.09434266
836.9545,0.09779663
838.883,0.1015895
840.8115,0.1056757
842.7399,0.1099403
844.6684,0.1145407
846.5969,0.1192082
848.5253,0.1240506
850.4538,0.1293655
852.3823,0.1350187
854.3107,0.1408227
856.2392,0.1468141
858.1677,0.1531593
860.0961,0.1596213
862.0246,0.166374
863.9531,0.173287
865.8815,0.18031
867.81,0.1873469
869.7385,0.1945093
871.6669,0.2014937
873.5954,0.2081713
875.5239,0.2145189
877.4523,0.2203143
879.3808,0.2256533
881.3093,0.2310507
883.2377,0.2365044
885.1662,0.2416227
887.0947,0.2468777
889.0231,0.2522078
890.9516,0.2575011
892.8801,0.2628573
894.8085,0.2679878
896.737,0.2729336
898.6655,0.2775303
900.5939,0.2819717
902.5224,0.2864179
904.4509,0.2906854
906.3793,0.2949621
908.3078,0.2993086
910.2363,0.303547
912.1647,0.3077346
914.0932,0.311718
916.0217,0.3155558
917.9501,0.3195538
919.8786,0.323816
921.8071,0.3281335
923.7355,0.3328293
925.664,0.3378631
927.5925,0.3431681
929.5209,0.3489967
931.4494,0.355409
933.3779,0.3620381
935.3063,0.3688714
937.2348,0.3755527
939.1633,0.3818907
941.0917,0.3879126
943.0202,0.393407
944.9487,0.3984096
946.8771,0.4025499
948.8056,0.4055357
950.7341,0.4078454
952.6625,0.4093394
954.591,0.4100795
956.5195,0.409599
958.4479,0.4081825
960.3764,0.4061362
962.3049,0.4035206
964.2333,0.399776
966.1618,0.3951164
968.0903,0.3903239
970.0187,0.3851176
971.9472,0.3792327
973.8757,0.3729202
975.8041,0.3663767
977.7326,0.3595526
979.6611,0.3521485
981.5895,0.3445585
983.518,0.3370727
985.4465,0.3294459
987.3749,0.3215285
989.3034,0.3137511
991.2319,0.305836
993.1603,0.2977102
995.0888,0.289691
997.0173,0.2819691
998.9457,0.2742796
1000.874,0.2667212
1002.803,0.2593701
1004.731,0.2524304
1006.66,0.2457297
1008.588,0.2395104
1010.517,0.2336826
1012.445,0.2285194
1014.373,0.2237642
1016.302,0.2191831
1018.23,0.2151146
1020.159,0.2115629
1022.087,0.208208
1024.016,0.2053253
1025.944,0.2027272
1027.873,0.200293
1029.801,0.1978758
1031.73,0.1955986
1033.658,0.193305
1035.587,0.1909533
1037.515,0.1883284
1039.443,0.1856403
1041.372,0.1831026
1043.3,0.180414
1045.229,0.1775387
1047.157,0.1749345
1049.086,0.1724893
1051.014,0.1701213
1052.943,0.167969
1054.871,0.166275
1056.8,0.1647108
1058.728,0.1631035
1060.657,0.161606
1062.585,0.1603048
1064.514,0.1588359
1066.442,0.1571676
1068.37,0.1553878
1070.299,0.1536741
1072.227,0.1516521
1074.156,0.149267
1076.084,0.1465905
1078.013,0.1436805
1079.941,0.1405227
1081.87,0.1373007
1083.798,0.1340025
1085.727,0.1306911
1087.655,0.1275759
1089.584,0.1247181
1091.512,0.1219609
1093.441,0.1192798
1095.369,0.1169142
1097.297,0.1146579
1099.226,0.1125404
1101.154,0.1106292
1103.083,0.1087295
1105.011,0.1070744
1106.94,0.1054284
1108.868,0.1037795
1110.797,0.1021494
1112.725,0.1006396
1114.654,0.09913537
1116.582,0.09776229
1118.511,0.09646282
1120.439,0.095116
1122.368,0.09367876
1124.296,0.09205142
1126.224,0.09019532
1128.153,0.08804077
1130.081,0.08550715
1132.01,0.08239894
1133.938,0.07856879
1135.867,0.07455146
1137.795,0.0705953
1139.724,0.06656238
1141.652,0.06253772
1143.581,0.05886082
1145.509,0.0553673
1147.438,0.05194963
1149.366,0.04884772
1151.295,0.04607895
1153.223,0.04365279
1155.151,0.04158155
1157.08,0.04001939
1159.008,0.03880021
1160.937,0.03786813
1162.865,0.0369429
1164.794,0.03571279
1166.722,0.03441604
1168.651,0.03309131
1170.579,0.03181008
1172.508,0.03067544
1174.436,0.0295717
1176.365,0.02852521
1178.293,0.02741393
1180.222,0.0263554
1182.15,0.02538995
1184.078,0.02447943
1186.007,0.02351126
1187.935,0.02255815
1189.864,0.02167086
1191.792,0.02071458
1193.721,0.01985469
1195.649,0.01891987
1197.578,0.01787563
1199.506,0.01688607
1201.435,0.01601145
1203.363,0.01507254
1205.292,0.01406836
1207.22,0.01319686
1209.149,0.01242939
1211.077,0.01171418
1213.005,0.01098662
1214.934,0.01036558
1216.862,0.009808337
1218.791,0.009182512
1220.719,0.008694631
1222.648,0.008181651
1224.576,0.007738712
1226.505,0.007427648
1228.433,0.007116053
1230.362,0.006867512
1232.29,0.006637798
1234.219,0.006434338
1236.147,0.006243265
1238.076,0.006019372
1240.004,0.005782016
1241.932,0.005549823
1243.861,0.005368564
1245.789,0.005280387
1247.718,0.005168976
1249.646,0.004988519
1251.575,0.004853235
1253.503,0.004700372
1255.432,0.004549623
1257.36,0.004467943
1259.289,0.004370356
1261.217,0.004305872
1263.146,0.004264331
1265.074,0.004243391
1267.003,0.004251009
1268.931,0.004233124
1270.859,0.004214994
1272.788,0.004302101
1274.716,0.004331868
1276.645,0.004256711
1278.573,0.004177433
1280.502,0.004094362
1282.43,0.003952623
1284.359,0.003830404
1286.287,0.003767122
1288.216,0.003756018
1290.144,0.003571772
1292.073,0.003544117
1294.001,0.003511061
1295.93,0.003436287
1297.858,0.00341476
1299.786,0.003460574
1301.715,0.003560371
1303.643,0.003514195
1305.572,0.003368645
1307.5,0.003399956
1309.429,0.003439679
1311.357,0.003333038
1313.286,0.003394547
1315.214,0.00339709
1317.143,0.003289313
1319.071,0.003237789
1321.0,0.003164939
1322.928,0.003150312
1324.857,0.00322969
1326.785,0.003271538
1328.714,0.003285564
1330.642,0.003309946
1332.57,0.003390382
1334.499,0.003430438
1336.427,0.003330566
1338.356,0.003335072
1340.284,0.003487033
1342.213,0.003478465
1344.141,0.003423624
1346.07,0.003455066
1347.998,0.003538393
1349.927,0.003615249
1351.855,0.003539085
1353.784,0.003558636
1355.712,0.003631331
1357.641,0.003656249
1359.569,0.003759828
1361.497,0.003966285
1363.426,0.00405065
1365.354,0.004061725
1367.283,0.004117977
1369.211,0.004148747
1371.14,0.004159822
1373.068,0.00435823
1374.997,0.004461074
1376.925,0.004539978
1378.854,0.004644046
1380.782,0.004715664
1382.711,0.004757642
1384.639,0.004725223
1386.568,0.004709924
1388.496,0.004831172
1390.424,0.005040087
1392.353,0.005173693
1394.281,0.005293649
1396.21,0.005379912
1398.138,0.00545738
1400.067,0.005568478
1401.995,0.005655169
1403.924,0.005712175
1405.852,0.00568229
1407.781,0.005713461
1409.709,0.005817829
1411.638,0.005821702
1413.566,0.005732095
1415.495,0.005803
1417.423,0.005965169
1419.351,0.006004272
1421.28,0.005834825
1423.208,0.005867238
1425.137,0.005904433
1427.065,0.005860177
1428.994,0.005804698
1430.922,0.005627379
1432.851,0.005573432
1434.779,0.005796751
1436.708,0.00600376
1438.636,0.005860453
1440.565,0.005711048
1442.493,0.005587493
1444.422,0.005338974
1446.35,0.005274313
1448.278,0.005356868
1450.207,0.005351331
1452.135,0.005328197
1454.064,0.005432338
1455.992,0.005675318
1457.921,0.00558563
1459.849,0.005275599
1461.778,0.005054955
1463.706,0.005025086
1465.635,0.00504559
1467.563,0.004888041
1469.492,0.004753648
1471.42,0.004826325
1473.349,0.004810791
1475.277,0.004574564
1477.205,0.004470552
1479.134,0.004371459
1481.062,0.00437057
1482.991,0.004396033
1484.919,0.004434474
1486.848,0.004632759
1488.776,0.004740014
1490.705,0.004731805
1492.633,0.004689338
1494.562,0.004780081
1496.49,0.005072513
1498.419,0.005097494
1500.347,0.004957956
1502.276,0.004886778
1504.204,0.005064791
