x,y
374.1225,0.1941102
376.051,0.202931
377.9795,0.1974435
379.9079,0.1951269
381.8364,0.2050657
383.7649,0.2218268
385.6933,0.2501458
387.6218,0.2557287
389.5503,0.2444675
391.4787,0.2316479
393.4072,0.2182782
395.3357,0.2169296
397.2641,0.216845
399.1926,0.2132181
401.1211,0.2151585
403.0495,0.222675
404.978,0.2295223
406.9065,0.2267672
408.8349,0.2090667
410.7634,0.1962867
412.6919,0.2001816
414.6203,0.2144881
416.5488,0.2354633
418.4773,0.2544822
420.4057,0.2658165
422.3342,0.2761437
424.2627,0.2889156
426.1911,0.2982123
428.1196,0.3012479
430.0481,0.3042125
431.9765,0.3104653
433.905,0.3125454
435.8335,0.3155887
437.7619,0.3211197
439.6904,0.3233836
441.6189,0.3216087
443.5473,0.3149059
445.4758,0.2980022
447.4043,0.2823895
449.3327,0.2732922
451.2612,0.2668788
453.1897,0.2588301
455.1181,0.2500905
457.0466,0.2426591
458.9751,0.2339921
460.9035,0.2244531
462.832,0.2174894
464.7605,0.2116499
466.6889,0.2039088
468.6174,0.1954435
470.5459,0.1882553
472.4743,0.1819093
474.4028,0.1780577
476.3313,0.1764616
478.2597,0.176801
480.1882,0.1817247
482.1167,0.1936994
484.0451,0.209994
485.9736,0.2242912
487.9021,0.2308083
489.8305,0.2310977
491.759,0.227343
493.6875,0.2201957
495.6159,0.2112846
497.5444,0.2004015
499.4729,0.1891755
501.4013,0.1796324
503.3298,0.1713257
505.2583,0.1643616
507.1867,0.1595813
509.1152,0.1561169
511.0437,0.1537266
512.9721,0.1517525
514.9006,0.1510667
516.829,0.1523536
518.7575,0.1549507
520.686,0.1580906
522.6144,0.1619566
524.5429,0.1693799
526.4714,0.17945
528.3998,0.1850916
530.3283,0.1843274
532.2568,0.1807832
534.1852,0.1770108
536.1137,0.1727664
538.0422,0.1695515
539.9706,0.1694528
541.8991,0.1725663
543.8276,0.1787255
545.756,0.1875414
547.6845,0.1958321
549.613,0.198375
551.5414,0.1932213
553.4699,0.1831096
555.3984,0.1723585
557.3268,0.1680822
559.2553,0.1740319
561.1838,0.1799974
563.1122,0.1750567
565.0407,0.1656191
566.9692,0.163314
568.8976,0.1707787
570.8261,0.1795554
572.7546,0.1812974
574.683,0.1769471
576.6115,0.1707402
578.54,0.1654198
580.4684,0.1618879
582.3969,0.1597008
584.3254,0.1570276
586.2538,0.1531312
588.1823,0.1472416
590.1108,0.139705
592.0392,0.1341804
593.9677,0.1357868
595.8962,0.1462555
597.8246,0.1605142
599.7531,0.1670167
601.6816,0.1602629
603.61,0.1476796
605.5385,0.1378602
607.467,0.1308172
609.3954,0.1236209
611.3239,0.115081
613.2524,0.1059087
615.1808,0.09673373
617.1093,0.08881084
619.0378,0.08279324
620.9662,0.07864889
622.8947,0.07596209
624.8232,0.0744041
626.7516,0.07435325
628.6801,0.0763278
630.6086,0.07998211
632.537,0.08571324
634.4655,0.0938651
636.394,0.1044836
638.3224,0.1181
640.2509,0.134371
642.1794,0.1523905
644.1078,0.1709515
646.0363,0.1883796
647.9648,0.2019867
649.8932,0.2099189
651.8217,0.2117277
653.7502,0.2083857
655.6786,0.2013691
657.6071,0.1917381
659.5356,0.1809539
661.4641,0.1693593
663.3925,0.1571733
665.321,0.1453722
667.2495,0.1338856
669.1779,0.1224272
671.1064,0.1119538
673.0349,0.1031036
674.9633,0.09608056
676.8918,0.09112403
678.8203,0.08800178
680.7487,0.0864935
682.6772,0.08654634
684.6057,0.08769017
686.5341,0.08973926
688.4626,0.09225884
690.3911,0.09491631
692.3195,0.09796685
694.248,0.1015478
696.1765,0.1053808
698.1049,0.1095814
700.0334,0.1141568
701.9619,0.1190807
703.8903,0.1244644
705.8188,0.1305599
707.7473,0.1370663
709.6757,0.1439847
711.6042,0.1516747
713.5327,0.1597256
715.4611,0.167977
717.3896,0.1761374
719.3181,0.1836818
721.2465,0.1902924
723.175,0.1949871
725.1035,0.1971782
727.0319,0.1966704
728.9604,0.1933316
730.8889,0.1869613
732.8173,0.1775045
734.7458,0.1650434
736.6743,0.150904
738.6027,0.1367978
740.5312,0.124169
742.4597,0.1138924
744.3881,0.1067409
746.3166,0.1030082
748.2451,0.1024068
750.1735,0.1045899
752.102,0.109224
754.0305,0.1158935
755.9589,0.124044
757.8874,0.1334014
759.8159,0.1436991
761.7443,0.1543831
763.6728,0.1652097
765.6013,0.1762091
767.5297,0.1872466
769.4582,0.1979814
771.3867,0.208673
773.3151,0.219277
775.2436,0.2293806
777.1721,0.2385178
779.1005,0.2463234
781.029,0.2526277
782.9575,0.257504
784.8859,0.2609501
786.8144,0.2629497
788.7429,0.2639883
790.6713,0.2640503
792.5998,0.2629161
794.5283,0.2611876
796.4567,0.2589713
798.3852,0.2560861
800.3137,0.2528388
802.2421,0.2489799
804.1706,0.2446727
806.0991,0.2401639
808.0275,0.2346213
809.956,0.2276409
811.8845,0.2200609
813.8129,0.2129972
815.7414,0.2070123
817.6699,0.2022882
819.5983,0.1984889
821.5268,0.1953041
823.4553,0.1925513
825.3837,0.1903004
827.3122,0.1885047
829.2407,0.1872454
831.1691,0.1866538
833.0976,0.1869495
835.0261,0.1882091
836.9545,0.190386
838.883,0.1933269
840.8115,0.1971267
842.7399,0.2021306
844.6684,0.2082667
846.5969,0.2153743
848.5253,0.2238458
850.4538,0.2338625
852.3823,0.244663
854.3107,0.255562
856.2392,0.2663341
858.1677,0.27637
860.0961,0.2853835
862.0246,0.2934839
863.9531,0.2995842
865.8815,0.3031383
867.81,0.3039927
869.7385,0.3013185
871.6669,0.294362
873.5954,0.2832525
875.5239,0.2688472
877.4523,0.2524704
879.3808,0.2363329
881.3093,0.222711
883.2377,0.2132264
