x,y
399.1926,0.1746912
401.1211,0.1747548
403.0495,0.1742702
404.978,0.169845
406.9065,0.1674255
408.8349,0.1691688
410.7634,0.1693965
412.6919,0.1689083
414.6203,0.1693236
416.5488,0.1698917
418.4773,0.1707567
420.4057,0.1708595
422.3342,0.1700789
424.2627,0.1705002
426.1911,0.1714737
428.1196,0.1726129
430.0481,0.17348
431.9765,0.1706579
433.905,0.1694784
435.8335,0.1700757
437.7619,0.1702419
439.6904,0.1704506
441.6189,0.1704264
443.5473,0.1697461
445.4758,0.1683553
447.4043,0.1683296
449.3327,0.1687094
451.2612,0.1672471
453.1897,0.1661693
455.1181,0.1656317
457.0466,0.1652732
458.9751,0.1645973
460.9035,0.1642162
462.832,0.1643096
464.7605,0.1634082
466.6889,0.1618743
468.6174,0.1601877
470.5459,0.1585456
472.4743,0.1566809
474.4028,0.1549139
476.3313,0.1536181
478.2597,0.15281
480.1882,0.1528632
482.1167,0.152842
484.0451,0.1516488
485.9736,0.1508255
487.9021,0.1503864
489.8305,0.1500435
491.759,0.1486247
493.6875,0.1472079
495.6159,0.146444
497.5444,0.1457368
499.4729,0.1443811
501.4013,0.1429472
503.3298,0.1418881
505.2583,0.1407491
507.1867,0.1395752
509.1152,0.1386466
511.0437,0.1374287
512.9721,0.1362232
514.9006,0.1351088
516.829,0.1337718
518.7575,0.1323048
520.686,0.1308267
522.6144,0.1297363
524.5429,0.1288441
526.4714,0.1275238
528.3998,0.1267133
530.3283,0.1257034
532.2568,0.1246039
534.1852,0.1236628
536.1137,0.1226205
538.0422,0.1215247
539.9706,0.1206594
541.8991,0.1198854
543.8276,0.1190405
545.756,0.1184028
547.6845,0.1175822
549.613,0.1169473
551.5414,0.1164209
553.4699,0.1158973
555.3984,0.115489
557.3268,0.1146146
559.2553,0.1140645
561.1838,0.1136334
563.1122,0.1131666
565.0407,0.1126565
566.9692,0.112156
568.8976,0.111389
570.8261,0.1105247
572.7546,0.110325
574.683,0.1100824
576.6115,0.1093387
578.54,0.1085383
580.4684,0.1079712
582.3969,0.1077167
584.3254,0.107537
586.2538,0.1073751
588.1823,0.10715
590.1108,0.1066457
592.0392,0.1060703
593.9677,0.1055971
595.8962,0.1052621
597.8246,0.1050712
599.7531,0.1048905
601.6816,0.1047784
603.61,0.104588
605.5385,0.1043524
607.467,0.104382
609.3954,0.1041688
611.3239,0.103633
613.2524,0.1033146
615.1808,0.1029474
617.1093,0.1025444
619.0378,0.1024057
620.9662,0.1022495
622.8947,0.1018606
624.8232,0.1015395
626.7516,0.101223
628.6801,0.1007022
630.6086,0.1002598
632.537,0.1002188
634.4655,0.1002367
636.394,0.1000881
638.3224,0.09965219
640.2509,0.09940314
642.1794,0.09932517
644.1078,0.09904429
646.0363,0.09847642
647.9648,0.09796464
649.8932,0.0977224
651.8217,0.0975486
653.7502,0.09718786
655.6786,0.09685079
657.6071,0.09664427
659.5356,0.09629598
661.4641,0.09593944
663.3925,0.09581453
665.321,0.09556986
667.2495,0.09534121
669.1779,0.09497643
671.1064,0.09461679
673.0349,0.09428745
674.9633,0.09392452
676.8918,0.09346768
678.8203,0.09299928
680.7487,0.09265884
682.6772,0.09230463
684.6057,0.09200428
686.5341,0.09176017
688.4626,0.09147991
690.3911,0.09128056
692.3195,0.09103563
694.248,0.09075747
696.1765,0.09048601
698.1049,0.09006774
700.0334,0.08974273
701.9619,0.08934376
703.8903,0.08897033
705.8188,0.08884639
707.7473,0.08851037
709.6757,0.08820853
711.6042,0.08796138
713.5327,0.08778891
715.4611,0.08749275
717.3896,0.08721654
719.3181,0.0870731
721.2465,0.08676747
723.175,0.08646275
725.1035,0.08620717
727.0319,0.08593587
728.9604,0.08579085
730.8889,0.08577357
732.8173,0.08570845
734.7458,0.0856529
736.6743,0.0854257
738.6027,0.08511174
740.5312,0.08503339
742.4597,0.08488987
744.3881,0.08473974
746.3166,0.08476618
748.2451,0.08464816
750.1735,0.08450343
752.102,0.08421218
754.0305,0.08395897
755.9589,0.08387689
757.8874,0.08381707
759.8159,0.08382967
761.7443,0.08390947
763.6728,0.08393429
765.6013,0.08397029
767.5297,0.08428349
769.4582,0.0845823
771.3867,0.08473095
773.3151,0.08479232
775.2436,0.08499087
777.1721,0.08552895
779.1005,0.08598463
781.029,0.08647621
782.9575,0.08700027
784.8859,0.08739652
786.8144,0.08795489
788.7429,0.08892085
790.6713,0.09000506
792.5998,0.09114352
794.5283,0.09229063
796.4567,0.0936308
798.3852,0.09498412
800.3137,0.09636624
802.2421,0.097709
804.1706,0.09900884
806.0991,0.1004793
808.0275,0.1023193
809.956,0.1041668
811.8845,0.1059251
813.8129,0.1078982
815.7414,0.1102017
817.6699,0.1123692
819.5983,0.1144542
821.5268,0.1167194
823.4553,0.1190774
825.3837,0.1214752
827.3122,0.1237644
829.2407,0.1259181
831.1691,0.1281424
833.0976,0.1305107
835.0261,0.1329006
836.9545,0.1350586
838.883,0.1371696
840.8115,0.1392475
842.7399,0.1414272
844.6684,0.1434689
846.5969,0.1453431
848.5253,0.1472572
850.4538,0.1492045
852.3823,0.1509648
854.3107,0.1525919
856.2392,0.1542422
858.1677,0.1558034
860.0961,0.15729
862.0246,0.1586796
863.9531,0.1600078
865.8815,0.1613179
867.81,0.1623394
869.7385,0.1633736
871.6669,0.1646687
873.5954,0.1657929
875.5239,0.1665533
877.4523,0.1672468
879.3808,0.1678149
881.3093,0.1685107
883.2377,0.1693507
885.1662,0.1699678
887.0947,0.170284
889.0231,0.1706351
890.9516,0.1710986
892.8801,0.1715514
894.8085,0.1717888
896.737,0.1718754
898.6655,0.1719975
900.5939,0.1723211
902.5224,0.1725331
904.4509,0.1725261
906.3793,0.172622
908.3078,0.1726175
910.2363,0.1724419
912.1647,0.1721609
914.0932,0.1719569
916.0217,0.1717144
917.9501,0.1713414
919.8786,0.1710395
921.8071,0.1705853
923.7355,0.1701512
925.664,0.169672
927.5925,0.1692944
929.5209,0.1688019
931.4494,0.1680627
933.3779,0.1674839
935.3063,0.1667982
937.2348,0.1659869
939.1633,0.1652576
941.0917,0.164585
943.0202,0.1636879
944.9487,0.162683
946.8771,0.1618308
948.8056,0.1609347
950.7341,0.1598624
952.6625,0.1588584
954.591,0.1577738
956.5195,0.1568025
958.4479,0.1558521
960.3764,0.1548233
962.3049,0.1537906
964.2333,0.152676
966.1618,0.1516581
