x,y
399.1926,0.5703286
401.1211,0.6125049
403.0495,0.650353
404.978,0.6047194
406.9065,0.5435933
408.8349,0.5190371
410.7634,0.5186769
412.6919,0.5173337
414.6203,0.4954427
416.5488,0.476898
418.4773,0.4637053
420.4057,0.4577655
422.3342,0.4493833
424.2627,0.4477108
426.1911,0.4368128
428.1196,0.4215241
430.0481,0.409006
431.9765,0.4040625
433.905,0.3957638
435.8335,0.389636
437.7619,0.3820918
439.6904,0.3774789
441.6189,0.3697219
443.5473,0.3639606
445.4758,0.3617088
447.4043,0.355538
449.3327,0.3495957
451.2612,0.3461643
453.1897,0.3404053
455.1181,0.3371993
457.0466,0.3340401
458.9751,0.3297739
460.9035,0.3247792
462.832,0.322592
464.7605,0.3198679
466.6889,0.3167158
468.6174,0.3128041
470.5459,0.3081723
472.4743,0.3053219
474.4028,0.3049041
476.3313,0.3047332
478.2597,0.3049039
480.1882,0.30491
482.1167,0.3071363
484.0451,0.3117312
485.9736,0.3161794
487.9021,0.3191942
489.8305,0.3230146
491.759,0.326677
493.6875,0.3283654
495.6159,0.3298681
497.5444,0.332836
499.4729,0.3349893
501.4013,0.3358947
503.3298,0.3367675
505.2583,0.3381563
507.1867,0.3398386
509.1152,0.3417344
511.0437,0.3436812
512.9721,0.3463716
514.9006,0.3492565
516.829,0.3546374
518.7575,0.3621388
520.686,0.3708203
522.6144,0.3810993
524.5429,0.3934013
526.4714,0.4053217
528.3998,0.4140784
530.3283,0.4188291
532.2568,0.4206281
534.1852,0.416943
536.1137,0.412011
538.0422,0.4061545
539.9706,0.398891
541.8991,0.3924235
543.8276,0.3844106
545.756,0.3741216
547.6845,0.3662789
549.613,0.3603739
551.5414,0.3529361
553.4699,0.3443491
555.3984,0.3364857
557.3268,0.3290147
559.2553,0.3215088
561.1838,0.3141855
563.1122,0.3067855
565.0407,0.3003168
566.9692,0.2948307
568.8976,0.2902118
570.8261,0.2866101
572.7546,0.2851206
574.683,0.2867571
576.6115,0.2902972
578.54,0.2946627
580.4684,0.2988248
582.3969,0.2985144
584.3254,0.2919102
586.2538,0.280523
588.1823,0.2669804
590.1108,0.2530307
592.0392,0.2389507
593.9677,0.2261413
595.8962,0.2148396
597.8246,0.2049998
599.7531,0.196834
601.6816,0.1903894
603.61,0.1851299
605.5385,0.1805889
607.467,0.1771752
609.3954,0.1742204
611.3239,0.1708683
613.2524,0.1673556
615.1808,0.164049
617.1093,0.1608664
619.0378,0.1578797
620.9662,0.1551656
