x,y
399.1926,0.1768611
401.1211,0.1797344
403.0495,0.1762004
404.978,0.175767
406.9065,0.1785165
408.8349,0.1801696
410.7634,0.1762631
412.6919,0.1743016
414.6203,0.1724623
416.5488,0.1678394
418.4773,0.1649437
420.4057,0.1628792
422.3342,0.1595667
424.2627,0.1568741
426.1911,0.1560948
428.1196,0.1582669
430.0481,0.1633328
431.9765,0.1667747
433.905,0.1703492
435.8335,0.1748328
437.7619,0.1782855
439.6904,0.1831087
441.6189,0.1863143
443.5473,0.1880751
445.4758,0.1873839
447.4043,0.1839681
449.3327,0.1772869
451.2612,0.1683926
453.1897,0.1582066
455.1181,0.1496411
457.0466,0.1421758
458.9751,0.1343831
460.9035,0.1266736
462.832,0.1189406
464.7605,0.1098231
466.6889,0.102045
468.6174,0.09489375
470.5459,0.08682395
472.4743,0.08045465
474.4028,0.07656567
476.3313,0.07403453
478.2597,0.07228687
480.1882,0.07141031
482.1167,0.07134154
484.0451,0.07183774
485.9736,0.07302031
487.9021,0.07427209
489.8305,0.07561253
491.759,0.07678691
493.6875,0.07848285
495.6159,0.08074745
497.5444,0.08306695
499.4729,0.08503003
501.4013,0.08729096
503.3298,0.08981185
505.2583,0.09209143
507.1867,0.09455458
509.1152,0.09707783
511.0437,0.09915107
512.9721,0.1016414
514.9006,0.1042449
516.829,0.1069905
518.7575,0.1093101
520.686,0.1116134
522.6144,0.1144925
524.5429,0.1173121
526.4714,0.1197247
528.3998,0.1223641
530.3283,0.1251396
532.2568,0.1279692
534.1852,0.130933
536.1137,0.1339299
538.0422,0.1368509
539.9706,0.1399288
541.8991,0.1431827
543.8276,0.1461943
545.756,0.1493996
547.6845,0.1522553
549.613,0.1546033
551.5414,0.157446
553.4699,0.1607123
555.3984,0.1641267
557.3268,0.1672683
559.2553,0.1698447
561.1838,0.1721581
563.1122,0.1748658
565.0407,0.1778744
566.9692,0.1805134
568.8976,0.1827786
570.8261,0.1845979
572.7546,0.1865847
574.683,0.1893107
576.6115,0.1915998
578.54,0.1933994
580.4684,0.195322
582.3969,0.1973525
584.3254,0.1995032
586.2538,0.2016504
588.1823,0.2036606
590.1108,0.2054961
592.0392,0.2070422
593.9677,0.2085634
595.8962,0.2103045
597.8246,0.2117504
599.7531,0.2131817
601.6816,0.2148595
603.61,0.2166551
605.5385,0.2180188
607.467,0.2189961
609.3954,0.2202451
611.3239,0.2217058
613.2524,0.2230106
615.1808,0.2242642
617.1093,0.2257136
619.0378,0.2273308
620.9662,0.2282397
622.8947,0.2291698
624.8232,0.2307681
626.7516,0.2318949
628.6801,0.2323597
630.6086,0.2334674
632.537,0.2351231
634.4655,0.236467
636.394,0.2376274
638.3224,0.2384573
640.2509,0.2392563
642.1794,0.2402741
644.1078,0.2415014
646.0363,0.2426561
647.9648,0.2435306
649.8932,0.2445863
651.8217,0.2455728
653.7502,0.2462986
655.6786,0.2476199
657.6071,0.2489284
659.5356,0.2496427
661.4641,0.2503954
663.3925,0.2515771
665.321,0.2527804
667.2495,0.2539997
669.1779,0.2547826
671.1064,0.2552842
673.0349,0.2559764
674.9633,0.2569442
676.8918,0.2580402
678.8203,0.2588
680.7487,0.2594348
682.6772,0.2603878
684.6057,0.2612704
686.5341,0.2620182
688.4626,0.2629769
690.3911,0.2636959
692.3195,0.2643087
694.248,0.264887
696.1765,0.2656876
698.1049,0.2666342
700.0334,0.2674829
701.9619,0.2680978
703.8903,0.2687306
705.8188,0.2694433
707.7473,0.2699657
709.6757,0.2706018
711.6042,0.2714331
713.5327,0.2722862
715.4611,0.272741
717.3896,0.2729917
719.3181,0.2737248
721.2465,0.2742173
723.175,0.2743879
725.1035,0.2747177
727.0319,0.2751274
728.9604,0.2754902
730.8889,0.2760547
732.8173,0.2763742
734.7458,0.2765119
736.6743,0.2764816
738.6027,0.2765154
740.5312,0.2767213
742.4597,0.2767613
744.3881,0.276404
746.3166,0.2762972
748.2451,0.2761164
750.1735,0.2756504
752.102,0.2750487
754.0305,0.2741551
755.9589,0.2732251
757.8874,0.2722569
759.8159,0.2708744
761.7443,0.2692335
763.6728,0.2670752
765.6013,0.2645544
767.5297,0.2619927
769.4582,0.2588968
771.3867,0.2549542
773.3151,0.2503017
775.2436,0.2451745
777.1721,0.2397849
779.1005,0.2345939
781.029,0.2302004
782.9575,0.2263075
784.8859,0.2231535
786.8144,0.2209487
788.7429,0.2194707
790.6713,0.2183623
792.5998,0.2176097
794.5283,0.216874
796.4567,0.2162738
798.3852,0.2157054
800.3137,0.2148053
802.2421,0.2134668
804.1706,0.2118759
806.0991,0.2101243
808.0275,0.2079605
809.956,0.2051846
811.8845,0.2019289
813.8129,0.1985414
815.7414,0.1951385
817.6699,0.1916482
819.5983,0.1875793
821.5268,0.1830466
823.4553,0.1788142
825.3837,0.1752564
827.3122,0.1725126
829.2407,0.1703117
831.1691,0.1686238
833.0976,0.1672983
835.0261,0.1664481
836.9545,0.1657765
838.883,0.1653919
840.8115,0.1650902
842.7399,0.1643791
844.6684,0.1627397
846.5969,0.1604716
848.5253,0.1580881
850.4538,0.1562917
852.3823,0.1553032
854.3107,0.1549425
856.2392,0.1553804
858.1677,0.156953
860.0961,0.1595432
862.0246,0.1618821
863.9531,0.1627369
865.8815,0.1614444
867.81,0.1582891
869.7385,0.1543115
871.6669,0.1500647
873.5954,0.1459083
875.5239,0.1417367
877.4523,0.1375727
879.3808,0.1333832
881.3093,0.1293804
883.2377,0.1252604
885.1662,0.1210433
887.0947,0.1166077
889.0231,0.1120583
890.9516,0.108028
892.8801,0.1053453
894.8085,0.1049581
896.737,0.1073199
898.6655,0.1117615
900.5939,0.1167528
902.5224,0.1205237
904.4509,0.1213216
906.3793,0.1189024
908.3078,0.1139929
910.2363,0.1079108
912.1647,0.1015321
914.0932,0.09553713
916.0217,0.09034158
917.9501,0.08581677
919.8786,0.0816984
921.8071,0.07791869
923.7355,0.07545878
925.664,0.07593384
927.5925,0.08078256
929.5209,0.09078626
931.4494,0.1054419
933.3779,0.1207176
935.3063,0.1257901
937.2348,0.1140828
939.1633,0.0971166
941.0917,0.08920277
943.0202,0.09005268
944.9487,0.09305552
946.8771,0.09495168
948.8056,0.09535006
950.7341,0.09467471
952.6625,0.09333608
954.591,0.0915051
956.5195,0.0893155
958.4479,0.08687518
960.3764,0.08419293
962.3049,0.08142345
964.2333,0.07850392
966.1618,0.0754007
968.0903,0.07198793
970.0187,0.06842281
971.9472,0.06461117
973.8757,0.06063781
975.8041,0.05641544
977.7326,0.05182471
979.6611,0.04691713
981.5895,0.04166917
983.518,0.03626645
985.4465,0.03104913
987.3749,0.02689845
989.3034,0.02411018
991.2319,0.02224539
993.1603,0.02091194
995.0888,0.01996951
997.0173,0.01939195
998.9457,0.01899961
1000.874,0.01870938
1002.803,0.0185318
1004.731,0.01820412
1006.66,0.0177851
1008.588,0.01748756
1010.517,0.01712062
1012.445,0.01674029
1014.373,0.01643293
1016.302,0.01619382
1018.23,0.01582147
1020.159,0.01563365
1022.087,0.01548134
1024.016,0.01526714
1025.944,0.01514661
1027.873,0.01500753
1029.801,0.0149074
1031.73,0.01476591
1033.658,0.01444449
1035.587,0.01414116
1037.515,0.01383646
1039.443,0.01353151
1041.372,0.01330503
1043.3,0.01313245
1045.229,0.01288104
1047.157,0.01255014
1049.086,0.01238073
1051.014,0.01224013
1052.943,0.01211568
1054.871,0.01209663
1056.8,0.01195293
1058.728,0.01178485
1060.657,0.01178883
1062.585,0.0119492
1064.514,0.01198457
1066.442,0.01199341
1068.37,0.01210069
1070.299,0.01216694
1072.227,0.01217738
1074.156,0.01214529
1076.084,0.01209069
1078.013,0.01204414
1079.941,0.01190509
1081.87,0.01173045
1083.798,0.0117419
