x,y
399.1926,0.1162411
401.1211,0.1171916
403.0495,0.1121599
404.978,0.105543
406.9065,0.1019927
408.8349,0.1005347
410.7634,0.1000109
412.6919,0.09943888
414.6203,0.1002513
416.5488,0.1011319
418.4773,0.1005856
420.4057,0.09973098
422.3342,0.09821137
424.2627,0.09636382
426.1911,0.09410827
428.1196,0.09217428
430.0481,0.09216196
431.9765,0.09210517
433.905,0.08948771
435.8335,0.08724859
437.7619,0.08552307
439.6904,0.08514728
441.6189,0.08451723
443.5473,0.08383591
445.4758,0.08305766
447.4043,0.08290775
449.3327,0.08233878
451.2612,0.08206526
453.1897,0.0820643
455.1181,0.0828719
457.0466,0.08364425
458.9751,0.08414849
460.9035,0.08511486
462.832,0.08623503
464.7605,0.08696318
466.6889,0.08863723
468.6174,0.09060165
470.5459,0.09215068
472.4743,0.09447993
474.4028,0.09818789
476.3313,0.1020535
478.2597,0.1058812
480.1882,0.1100666
482.1167,0.11517
484.0451,0.121304
485.9736,0.1286914
487.9021,0.1358508
489.8305,0.1433846
491.759,0.1510597
493.6875,0.1591801
495.6159,0.166769
497.5444,0.1741957
499.4729,0.1798005
501.4013,0.1836744
503.3298,0.1855019
505.2583,0.1853935
507.1867,0.1832054
509.1152,0.1789367
511.0437,0.1732582
512.9721,0.1676045
514.9006,0.1629306
516.829,0.1589171
518.7575,0.1542999
520.686,0.1511087
522.6144,0.149657
524.5429,0.1492002
526.4714,0.148574
528.3998,0.1470587
530.3283,0.144799
532.2568,0.1420922
534.1852,0.1398325
536.1137,0.1378193
538.0422,0.1359372
539.9706,0.1351293
541.8991,0.1350674
543.8276,0.1349425
545.756,0.1349186
547.6845,0.134445
549.613,0.133441
551.5414,0.1316199
553.4699,0.128274
555.3984,0.1230914
557.3268,0.1166246
559.2553,0.1088324
561.1838,0.1008226
563.1122,0.09373797
565.0407,0.08819324
566.9692,0.08389374
568.8976,0.08111865
570.8261,0.07936411
572.7546,0.07852814
574.683,0.0790172
576.6115,0.0796982
578.54,0.08047979
580.4684,0.08191138
582.3969,0.08386652
584.3254,0.08588678
586.2538,0.08827443
588.1823,0.09059329
590.1108,0.09297249
592.0392,0.09525906
593.9677,0.09699494
595.8962,0.0986808
597.8246,0.09995519
599.7531,0.1005656
601.6816,0.1010904
603.61,0.10119
605.5385,0.1009541
607.467,0.1006645
609.3954,0.1000871
611.3239,0.09957712
613.2524,0.09919533
615.1808,0.09894898
617.1093,0.09909336
619.0378,0.09922332
620.9662,0.09904256
622.8947,0.09935085
624.8232,0.1002358
626.7516,0.1009774
628.6801,0.1014792
630.6086,0.102345
632.537,0.1036956
634.4655,0.1050068
636.394,0.106249
638.3224,0.1074228
640.2509,0.1084732
642.1794,0.1093226
644.1078,0.1100588
646.0363,0.1107074
647.9648,0.1110324
649.8932,0.1110355
651.8217,0.1109049
653.7502,0.110702
655.6786,0.1104861
657.6071,0.1100068
659.5356,0.1094324
661.4641,0.1089828
663.3925,0.1084308
665.321,0.1080074
667.2495,0.1078316
669.1779,0.1072785
671.1064,0.1067212
673.0349,0.1065748
674.9633,0.1064575
676.8918,0.1062249
678.8203,0.1062078
680.7487,0.1063091
682.6772,0.1060425
684.6057,0.1056568
686.5341,0.1051647
688.4626,0.1044226
690.3911,0.1037187
692.3195,0.1028715
694.248,0.1016859
696.1765,0.1004811
698.1049,0.09921147
700.0334,0.09805817
701.9619,0.09666485
703.8903,0.09543356
705.8188,0.09430756
707.7473,0.09300935
709.6757,0.09199617
711.6042,0.09121699
713.5327,0.09031439
715.4611,0.08933103
717.3896,0.08846677
719.3181,0.08776005
721.2465,0.08695478
723.175,0.08623066
725.1035,0.08578577
727.0319,0.08518076
728.9604,0.08450951
730.8889,0.08385734
732.8173,0.08326282
734.7458,0.08276793
736.6743,0.08212102
738.6027,0.08142751
740.5312,0.08077755
742.4597,0.07994194
744.3881,0.07906102
746.3166,0.07832585
748.2451,0.07754563
750.1735,0.07681043
752.102,0.07584698
754.0305,0.07470883
755.9589,0.07355805
757.8874,0.0723618
759.8159,0.07121592
761.7443,0.06990249
763.6728,0.06835052
765.6013,0.06678547
767.5297,0.06524689
769.4582,0.06361344
771.3867,0.0619543
773.3151,0.06011817
775.2436,0.05846507
777.1721,0.05692812
779.1005,0.05536731
781.029,0.05411809
782.9575,0.05274792
784.8859,0.05118162
786.8144,0.04979065
788.7429,0.04863065
790.6713,0.04760588
792.5998,0.04641036
794.5283,0.045149
796.4567,0.04432965
798.3852,0.0434624
800.3137,0.04257932
802.2421,0.04173791
804.1706,0.04106169
806.0991,0.04044351
808.0275,0.03979557
809.956,0.03929378
811.8845,0.03881927
813.8129,0.03826709
815.7414,0.03780526
817.6699,0.0373841
819.5983,0.03706127
821.5268,0.03688235
823.4553,0.03680268
825.3837,0.03672857
827.3122,0.03658617
829.2407,0.03640678
831.1691,0.03647266
833.0976,0.03655284
835.0261,0.03680131
836.9545,0.03703729
838.883,0.03734021
