x,y
399.1926,0.2356551
401.1211,0.2251386
403.0495,0.208583
404.978,0.1979233
406.9065,0.1910766
408.8349,0.1860948
410.7634,0.1828423
412.6919,0.1809513
414.6203,0.1785789
416.5488,0.1787164
418.4773,0.181131
420.4057,0.18442
422.3342,0.1895402
424.2627,0.1944827
426.1911,0.1976315
428.1196,0.1998517
430.0481,0.2011315
431.9765,0.1995461
433.905,0.1927571
435.8335,0.1852335
437.7619,0.1762515
439.6904,0.1671528
441.6189,0.1569835
443.5473,0.1477764
445.4758,0.1393436
447.4043,0.1327661
449.3327,0.1261707
451.2612,0.1199531
453.1897,0.1137677
455.1181,0.1084171
457.0466,0.1038691
458.9751,0.09939015
460.9035,0.09510121
462.832,0.09167441
464.7605,0.0880556
466.6889,0.08615941
468.6174,0.08520085
470.5459,0.0841836
472.4743,0.08405917
474.4028,0.08510073
476.3313,0.08670724
478.2597,0.08863328
480.1882,0.09033094
482.1167,0.09194411
484.0451,0.09385897
485.9736,0.09634128
487.9021,0.09806214
489.8305,0.09979816
491.759,0.1020721
493.6875,0.1044653
495.6159,0.1064562
497.5444,0.1088612
499.4729,0.1117325
501.4013,0.114736
503.3298,0.1175658
505.2583,0.1217516
507.1867,0.1268744
509.1152,0.131248
511.0437,0.1360863
512.9721,0.1421818
514.9006,0.1487179
516.829,0.1554213
518.7575,0.162143
520.686,0.169646
522.6144,0.1771329
524.5429,0.1853576
526.4714,0.1936724
528.3998,0.2018027
530.3283,0.209589
532.2568,0.2161104
534.1852,0.2219033
536.1137,0.2259621
538.0422,0.2284525
539.9706,0.2310474
541.8991,0.2341267
543.8276,0.2362498
545.756,0.2370452
547.6845,0.2368689
549.613,0.2347435
551.5414,0.2311442
553.4699,0.2263169
555.3984,0.2205714
557.3268,0.2140351
559.2553,0.2067586
561.1838,0.1994731
563.1122,0.1934954
565.0407,0.1884378
566.9692,0.1832327
568.8976,0.1780679
570.8261,0.1726526
572.7546,0.167496
574.683,0.1636147
576.6115,0.1598099
578.54,0.1561449
580.4684,0.1531096
582.3969,0.1503982
584.3254,0.1481932
586.2538,0.1471522
588.1823,0.1464713
590.1108,0.1468792
592.0392,0.1483835
593.9677,0.15004
595.8962,0.1528169
597.8246,0.1565978
599.7531,0.1611475
601.6816,0.1658544
603.61,0.1699372
605.5385,0.1732467
607.467,0.1752522
609.3954,0.1747496
611.3239,0.1714002
613.2524,0.1660543
615.1808,0.1613887
617.1093,0.1592096
619.0378,0.1592611
620.9662,0.1607247
622.8947,0.1636081
624.8232,0.1668438
626.7516,0.1692859
628.6801,0.1710947
630.6086,0.172175
632.537,0.1721002
634.4655,0.1708039
636.394,0.1685631
638.3224,0.1653409
640.2509,0.1615781
642.1794,0.15757
644.1078,0.1534812
646.0363,0.149413
647.9648,0.1454638
649.8932,0.1415276
651.8217,0.1373327
653.7502,0.132635
655.6786,0.12767
657.6071,0.1222518
659.5356,0.1166002
661.4641,0.1108661
663.3925,0.1053255
665.321,0.100244
667.2495,0.09541234
669.1779,0.09047265
671.1064,0.0857009
673.0349,0.0816623
674.9633,0.07837749
676.8918,0.0756709
678.8203,0.0735808
680.7487,0.07238901
682.6772,0.07180449
684.6057,0.07201517
686.5341,0.07300428
688.4626,0.07456647
690.3911,0.07722849
692.3195,0.08085014
694.248,0.08542576
696.1765,0.09119233
698.1049,0.0978338
700.0334,0.1060302
701.9619,0.1155848
703.8903,0.1260844
705.8188,0.1365671
707.7473,0.1461009
709.6757,0.1537186
711.6042,0.158605
713.5327,0.1600129
715.4611,0.1581532
717.3896,0.153253
719.3181,0.145596
721.2465,0.1357498
723.175,0.1244987
725.1035,0.1124964
727.0319,0.1001802
728.9604,0.08821292
730.8889,0.07730631
732.8173,0.06781829
734.7458,0.06007563
736.6743,0.05390371
738.6027,0.04909567
740.5312,0.04549043
742.4597,0.04276888
744.3881,0.04065967
746.3166,0.03913194
748.2451,0.03806739
750.1735,0.03755067
752.102,0.03716072
754.0305,0.03692177
755.9589,0.03709161
757.8874,0.03743724
759.8159,0.03812322
761.7443,0.03908076
763.6728,0.03994438
765.6013,0.04088506
767.5297,0.04226937
769.4582,0.04388401
771.3867,0.04561569
773.3151,0.04736755
775.2436,0.04945054
777.1721,0.05180166
779.1005,0.05392405
781.029,0.05589069
782.9575,0.05777219
784.8859,0.05946531
786.8144,0.06128094
788.7429,0.06354638
790.6713,0.06598824
792.5998,0.06841952
794.5283,0.07090861
796.4567,0.07378972
798.3852,0.07667242
800.3137,0.07936928
802.2421,0.08237451
804.1706,0.08575767
806.0991,0.08915595
808.0275,0.09269832
809.956,0.09670918
811.8845,0.1009561
813.8129,0.1051396
815.7414,0.1094627
817.6699,0.1137753
819.5983,0.1179643
821.5268,0.1222086
823.4553,0.1259685
825.3837,0.1289498
827.3122,0.131287
829.2407,0.1327865
831.1691,0.1334253
833.0976,0.1330219
835.0261,0.1317583
836.9545,0.1293141
838.883,0.126153
840.8115,0.1223737
842.7399,0.1181557
844.6684,0.1133461
846.5969,0.1082597
848.5253,0.1033094
850.4538,0.09852718
852.3823,0.09379243
854.3107,0.08938662
856.2392,0.08549594
858.1677,0.08247344
860.0961,0.07976597
862.0246,0.0774744
863.9531,0.07581148
865.8815,0.0749228
867.81,0.07449135
869.7385,0.07463536
871.6669,0.07528887
873.5954,0.07635337
875.5239,0.07795998
877.4523,0.08006785
879.3808,0.08246905
881.3093,0.08544955
883.2377,0.08880289
885.1662,0.09253313
887.0947,0.0968418
889.0231,0.1015654
890.9516,0.106583
892.8801,0.1119055
894.8085,0.1174672
896.737,0.1231426
898.6655,0.1291823
900.5939,0.1356923
902.5224,0.1425041
904.4509,0.1493811
906.3793,0.1563126
908.3078,0.1631278
910.2363,0.1698094
912.1647,0.1759656
914.0932,0.1813157
916.0217,0.1860393
917.9501,0.1897483
919.8786,0.1921764
921.8071,0.1930327
923.7355,0.1924781
925.664,0.1907221
927.5925,0.1876789
929.5209,0.1833953
931.4494,0.1779552
933.3779,0.1716068
935.3063,0.164598
937.2348,0.1569945
939.1633,0.1491721
941.0917,0.1414519
943.0202,0.1341951
944.9487,0.1277163
946.8771,0.1223167
948.8056,0.1178721
950.7341,0.1146276
952.6625,0.1124972
954.591,0.1112262
956.5195,0.1109643
958.4479,0.1117349
960.3764,0.1134053
962.3049,0.1158812
964.2333,0.1191535
966.1618,0.1231753
968.0903,0.1279552
970.0187,0.1335768
971.9472,0.1397228
973.8757,0.14666
975.8041,0.1543844
977.7326,0.1628706
979.6611,0.1720098
981.5895,0.1819811
983.518,0.1926345
985.4465,0.2037824
987.3749,0.215197
989.3034,0.2272137
991.2319,0.2394476
993.1603,0.2513328
995.0888,0.2623094
997.0173,0.2720851
998.9457,0.2800108
1000.874,0.2857561
1002.803,0.2892347
1004.731,0.2909542
1006.66,0.2908817
1008.588,0.289317
1010.517,0.2866797
1012.445,0.2831673
1014.373,0.2782621
1016.302,0.2718679
1018.23,0.2640787
1020.159,0.2553659
1022.087,0.2457269
1024.016,0.2353957
1025.944,0.224847
1027.873,0.2142882
1029.801,0.2037706
1031.73,0.1936173
1033.658,0.1840408
1035.587,0.1753125
1037.515,0.1671813
1039.443,0.159695
1041.372,0.1527988
1043.3,0.1469442
1045.229,0.1422923
1047.157,0.1390282
1049.086,0.137324
1051.014,0.137591
1052.943,0.1398904
1054.871,0.1443674
1056.8,0.1505696
1058.728,0.1578475
1060.657,0.1653717
1062.585,0.1723419
1064.514,0.1779503
1066.442,0.1820566
1068.37,0.1846567
1070.299,0.185841
1072.227,0.1854873
1074.156,0.1840048
1076.084,0.1816929
1078.013,0.1786405
1079.941,0.1747447
1081.87,0.1705069
1083.798,0.1660001
1085.727,0.1614258
1087.655,0.1568709
1089.584,0.1525
1091.512,0.148212
1093.441,0.1445955
1095.369,0.1421797
1097.297,0.1412437
1099.226,0.1415522
1101.154,0.1423585
1103.083,0.1426064
1105.011,0.1417852
1106.94,0.1400938
1108.868,0.1378436
1110.797,0.1356553
1112.725,0.1340605
1114.654,0.1329219
1116.582,0.132294
1118.511,0.1324081
1120.439,0.133519
1122.368,0.135511
1124.296,0.1383229
1126.224,0.1419687
1128.153,0.1467119
1130.081,0.1523638
1132.01,0.1587102
1133.938,0.1656928
1135.867,0.1731124
1137.795,0.180055
1139.724,0.185901
1141.652,0.1902235
1143.581,0.1930361
1145.509,0.1942116
1147.438,0.1939735
1149.366,0.192407
1151.295,0.1901104
1153.223,0.1869997
1155.151,0.1832826
1157.08,0.1795104
1159.008,0.1755041
1160.937,0.171071
1162.865,0.1667116
1164.794,0.1625835
1166.722,0.158424
1168.651,0.1544098
1170.579,0.1508049
1172.508,0.1473086
1174.436,0.1439136
1176.365,0.1408075
1178.293,0.1380327
1180.222,0.1353229
1182.15,0.1328929
1184.078,0.1306305
1186.007,0.128559
1187.935,0.1266474
1189.864,0.124784
1191.792,0.1226564
1193.721,0.1204053
1195.649,0.117998
1197.578,0.1154704
1199.506,0.1125614
