x,y
399.1926,0.1943972
401.1211,0.1988289
403.0495,0.1955899
404.978,0.1937679
406.9065,0.1924412
408.8349,0.1926953
410.7634,0.1930697
412.6919,0.1969367
414.6203,0.1983254
416.5488,0.1957572
418.4773,0.1968111
420.4057,0.1987589
422.3342,0.1976943
424.2627,0.1968526
426.1911,0.1965778
428.1196,0.1966554
430.0481,0.1972723
431.9765,0.198565
433.905,0.1985641
435.8335,0.1979447
437.7619,0.1975026
439.6904,0.200248
441.6189,0.201042
443.5473,0.200255
445.4758,0.1992857
447.4043,0.2001815
449.3327,0.2002329
451.2612,0.1994229
453.1897,0.1995225
455.1181,0.2012546
457.0466,0.2019186
458.9751,0.2026335
460.9035,0.2024609
462.832,0.2029978
464.7605,0.2029171
466.6889,0.202959
468.6174,0.2034051
470.5459,0.2036231
472.4743,0.2039648
474.4028,0.2041049
476.3313,0.2042397
478.2597,0.2047961
480.1882,0.2050674
482.1167,0.2044167
484.0451,0.2050514
485.9736,0.2062036
487.9021,0.2062181
489.8305,0.2065501
491.759,0.2069379
493.6875,0.2073283
495.6159,0.2071167
497.5444,0.208133
499.4729,0.2084861
501.4013,0.2082243
503.3298,0.2080177
505.2583,0.2086366
507.1867,0.2097857
509.1152,0.2094209
511.0437,0.2093397
512.9721,0.2097282
514.9006,0.2093158
516.829,0.2095678
518.7575,0.2097216
520.686,0.2100294
522.6144,0.2098463
524.5429,0.2098792
526.4714,0.2096834
528.3998,0.2089474
530.3283,0.2089444
532.2568,0.2090055
534.1852,0.2097379
536.1137,0.2103406
538.0422,0.2099633
539.9706,0.2095496
541.8991,0.2104775
543.8276,0.2107815
545.756,0.2098734
547.6845,0.209599
549.613,0.2094001
551.5414,0.209592
553.4699,0.2099269
555.3984,0.2100551
557.3268,0.2104315
559.2553,0.2106757
561.1838,0.2106298
563.1122,0.2108049
565.0407,0.2118271
566.9692,0.2126052
568.8976,0.2122285
570.8261,0.2124893
572.7546,0.2131597
574.683,0.2141956
576.6115,0.214727
578.54,0.2148207
580.4684,0.2153463
582.3969,0.2162032
584.3254,0.217006
586.2538,0.2180818
588.1823,0.2188934
590.1108,0.2194592
592.0392,0.2201335
593.9677,0.2206549
595.8962,0.2211148
597.8246,0.2214583
599.7531,0.2219268
601.6816,0.2226875
603.61,0.2232043
605.5385,0.2230418
607.467,0.2227916
609.3954,0.2217789
611.3239,0.2204186
613.2524,0.2187238
615.1808,0.2171678
617.1093,0.2159441
619.0378,0.215562
620.9662,0.2153583
622.8947,0.2153236
624.8232,0.2155828
626.7516,0.215948
628.6801,0.216488
630.6086,0.2169688
632.537,0.2168026
634.4655,0.2161948
636.394,0.2156285
638.3224,0.2151195
640.2509,0.2144525
642.1794,0.2137436
644.1078,0.2135638
646.0363,0.2135375
647.9648,0.2136473
649.8932,0.2138396
651.8217,0.2141815
653.7502,0.214589
655.6786,0.2151196
657.6071,0.2159054
659.5356,0.2167179
661.4641,0.2174325
663.3925,0.2182284
665.321,0.219215
667.2495,0.2201512
669.1779,0.2204768
671.1064,0.2205391
673.0349,0.2209727
674.9633,0.2216289
676.8918,0.2223298
678.8203,0.2227986
680.7487,0.2234418
682.6772,0.223916
684.6057,0.2243942
686.5341,0.2249295
688.4626,0.2255119
690.3911,0.2261277
692.3195,0.2266634
694.248,0.2269125
696.1765,0.2274599
698.1049,0.2279083
700.0334,0.2284801
701.9619,0.2284291
703.8903,0.229062
705.8188,0.2296193
707.7473,0.229885
709.6757,0.2303583
711.6042,0.2309193
713.5327,0.2312795
715.4611,0.2316767
717.3896,0.2321355
719.3181,0.2326014
721.2465,0.2326643
723.175,0.2331213
725.1035,0.2339111
727.0319,0.2342147
728.9604,0.234455
730.8889,0.234682
732.8173,0.2349535
734.7458,0.2353949
736.6743,0.2360018
738.6027,0.2366284
740.5312,0.2371259
742.4597,0.2373292
744.3881,0.2375666
746.3166,0.237972
748.2451,0.2381741
750.1735,0.2385759
752.102,0.2392304
754.0305,0.2396029
755.9589,0.2398587
757.8874,0.2401622
759.8159,0.2407718
761.7443,0.2414486
763.6728,0.2416985
765.6013,0.2417895
767.5297,0.2422638
769.4582,0.2425581
771.3867,0.242735
773.3151,0.2429139
775.2436,0.2434242
777.1721,0.2440281
779.1005,0.2441359
781.029,0.2443398
782.9575,0.2447976
784.8859,0.2448359
786.8144,0.2448419
788.7429,0.2450866
790.6713,0.2456764
792.5998,0.2460609
794.5283,0.2460437
796.4567,0.2465176
798.3852,0.2466735
800.3137,0.2465103
802.2421,0.2464546
804.1706,0.246785
806.0991,0.2471296
808.0275,0.2474085
809.956,0.2478033
811.8845,0.2479173
813.8129,0.2478339
815.7414,0.2479672
817.6699,0.2483134
819.5983,0.2484488
821.5268,0.2487045
823.4553,0.249169
825.3837,0.2495037
827.3122,0.249836
829.2407,0.2500097
831.1691,0.2503129
833.0976,0.2505709
835.0261,0.2510329
836.9545,0.2513874
838.883,0.2518721
840.8115,0.252479
842.7399,0.2533846
844.6684,0.2539275
846.5969,0.2532276
848.5253,0.2518572
850.4538,0.2511738
852.3823,0.2512318
854.3107,0.2516956
856.2392,0.2521383
858.1677,0.2530254
860.0961,0.2535795
862.0246,0.2538588
863.9531,0.2540809
865.8815,0.2543756
867.81,0.2548052
869.7385,0.2552123
871.6669,0.2556833
873.5954,0.2560912
875.5239,0.2563681
877.4523,0.2566862
879.3808,0.2568703
881.3093,0.2572483
883.2377,0.2577584
885.1662,0.2582766
887.0947,0.2587658
889.0231,0.259175
890.9516,0.2593606
892.8801,0.2596071
894.8085,0.2600574
896.737,0.260337
898.6655,0.2607802
900.5939,0.2611159
902.5224,0.2615289
904.4509,0.2621036
906.3793,0.2624148
908.3078,0.2627362
910.2363,0.2632013
912.1647,0.2634715
914.0932,0.263622
916.0217,0.2641586
917.9501,0.2647073
919.8786,0.2652168
921.8071,0.2656627
923.7355,0.2660491
925.664,0.2662854
927.5925,0.2668334
929.5209,0.2672907
931.4494,0.2675751
933.3779,0.267949
935.3063,0.2683388
937.2348,0.2687649
939.1633,0.2690934
941.0917,0.2692579
943.0202,0.2696445
944.9487,0.2701158
946.8771,0.2705451
948.8056,0.2708426
950.7341,0.2711281
952.6625,0.2715248
954.591,0.2718603
956.5195,0.2720327
958.4479,0.2723968
960.3764,0.272658
962.3049,0.2729511
964.2333,0.2732042
966.1618,0.2736123
968.0903,0.2738617
970.0187,0.2742766
971.9472,0.2744722
973.8757,0.2749237
975.8041,0.2755585
977.7326,0.2758932
979.6611,0.2762443
981.5895,0.2767209
983.518,0.276697
985.4465,0.2763342
987.3749,0.2762929
989.3034,0.2767089
991.2319,0.2771084
993.1603,0.2775123
