x,y
399.1926,0.1223844
401.1211,0.1239611
403.0495,0.1169308
404.978,0.1122699
406.9065,0.114891
408.8349,0.1178966
410.7634,0.1165421
412.6919,0.1170703
414.6203,0.1182019
416.5488,0.1183223
418.4773,0.1191429
420.4057,0.1194832
422.3342,0.1186965
424.2627,0.118456
426.1911,0.1170742
428.1196,0.1165478
430.0481,0.1182235
431.9765,0.120246
433.905,0.1213497
435.8335,0.1236418
437.7619,0.1273912
439.6904,0.1316304
441.6189,0.1311049
443.5473,0.1271994
445.4758,0.1231774
447.4043,0.1203619
449.3327,0.1176257
451.2612,0.1147935
453.1897,0.112554
455.1181,0.1117407
457.0466,0.1115436
458.9751,0.1115796
460.9035,0.1116518
462.832,0.1124774
464.7605,0.112879
466.6889,0.1136949
468.6174,0.1140373
470.5459,0.1144198
472.4743,0.1154405
474.4028,0.1171907
476.3313,0.1188361
478.2597,0.1201369
480.1882,0.1220033
482.1167,0.1240371
484.0451,0.1254829
485.9736,0.1270839
487.9021,0.1283665
489.8305,0.1287876
491.759,0.1288586
493.6875,0.1292683
495.6159,0.128475
497.5444,0.1275535
499.4729,0.1260941
501.4013,0.1243071
503.3298,0.1223474
505.2583,0.1204253
507.1867,0.1190318
509.1152,0.1179467
511.0437,0.1166664
512.9721,0.1157232
514.9006,0.1154173
516.829,0.115552
518.7575,0.1152622
520.686,0.1157378
522.6144,0.1167143
524.5429,0.1180569
526.4714,0.1191112
528.3998,0.1201342
530.3283,0.1212515
532.2568,0.1227831
534.1852,0.1246123
536.1137,0.1258443
538.0422,0.1273076
539.9706,0.1291886
541.8991,0.131139
543.8276,0.1326308
545.756,0.1334108
547.6845,0.1349665
549.613,0.1370818
551.5414,0.1382961
553.4699,0.1393995
555.3984,0.1409874
557.3268,0.1421509
559.2553,0.142226
561.1838,0.142219
563.1122,0.1428625
565.0407,0.1432111
566.9692,0.1429221
568.8976,0.1415557
570.8261,0.1398048
572.7546,0.1379542
574.683,0.1360471
576.6115,0.1331605
578.54,0.1295963
580.4684,0.1263513
582.3969,0.1232191
584.3254,0.1200559
586.2538,0.1170527
588.1823,0.1142012
590.1108,0.1114175
592.0392,0.109329
593.9677,0.1075757
595.8962,0.1061457
597.8246,0.1049891
599.7531,0.1041051
601.6816,0.1032867
603.61,0.1023867
605.5385,0.1016846
607.467,0.1012446
609.3954,0.1007353
611.3239,0.100048
613.2524,0.09932495
615.1808,0.09877375
617.1093,0.09825484
619.0378,0.09782741
620.9662,0.09722127
622.8947,0.09659001
624.8232,0.09617237
626.7516,0.09572854
628.6801,0.09523716
630.6086,0.09481516
632.537,0.0945177
634.4655,0.09451675
636.394,0.09439661
638.3224,0.09398493
640.2509,0.09379204
642.1794,0.09393067
644.1078,0.09402771
646.0363,0.09405356
647.9648,0.09423485
649.8932,0.09455655
651.8217,0.09477206
653.7502,0.09509547
655.6786,0.09562395
657.6071,0.09607807
659.5356,0.09674231
661.4641,0.09750824
663.3925,0.09818155
665.321,0.09914172
667.2495,0.100103
669.1779,0.1006403
671.1064,0.1008354
673.0349,0.1012196
674.9633,0.1018298
676.8918,0.1024472
678.8203,0.1028318
680.7487,0.103343
682.6772,0.1038359
684.6057,0.1042276
686.5341,0.1046745
688.4626,0.1049077
690.3911,0.1050266
692.3195,0.1051429
694.248,0.1053762
696.1765,0.1054858
698.1049,0.105338
700.0334,0.1052638
701.9619,0.1049323
703.8903,0.1045942
705.8188,0.1043096
707.7473,0.1038858
709.6757,0.1035658
711.6042,0.1033565
713.5327,0.1031466
715.4611,0.1031384
717.3896,0.1033702
719.3181,0.1036765
721.2465,0.1041879
723.175,0.1054071
725.1035,0.1073281
727.0319,0.1093285
728.9604,0.1107184
730.8889,0.1107677
732.8173,0.1102366
734.7458,0.1107603
736.6743,0.1120686
738.6027,0.1139737
740.5312,0.1164344
742.4597,0.1191704
744.3881,0.1223162
746.3166,0.1257343
748.2451,0.1288258
750.1735,0.1318776
752.102,0.1348261
754.0305,0.1374137
755.9589,0.1393177
757.8874,0.1408006
759.8159,0.1417936
761.7443,0.1421801
763.6728,0.1417283
765.6013,0.1402768
767.5297,0.138639
769.4582,0.1373433
771.3867,0.1365197
773.3151,0.1361318
775.2436,0.1366774
777.1721,0.1385839
779.1005,0.1417424
781.029,0.145763
782.9575,0.1502137
784.8859,0.1549094
786.8144,0.1597745
788.7429,0.1641852
790.6713,0.1674517
792.5998,0.1688894
794.5283,0.1682354
796.4567,0.166391
798.3852,0.1646504
800.3137,0.1642764
802.2421,0.165544
804.1706,0.1690326
806.0991,0.1750863
808.0275,0.1835836
809.956,0.1939035
811.8845,0.2053148
813.8129,0.2168637
815.7414,0.2283525
817.6699,0.2395653
819.5983,0.2498204
821.5268,0.2582356
823.4553,0.2640038
825.3837,0.2670489
827.3122,0.2679411
829.2407,0.2669453
831.1691,0.2653623
833.0976,0.2646639
835.0261,0.2655318
836.9545,0.2680356
838.883,0.2723213
840.8115,0.2780372
842.7399,0.2846862
844.6684,0.291557
846.5969,0.2982341
848.5253,0.3044074
850.4538,0.3095644
852.3823,0.311878
854.3107,0.3101523
856.2392,0.3051921
858.1677,0.2976535
860.0961,0.2879709
862.0246,0.2770981
863.9531,0.2659703
865.8815,0.2549173
867.81,0.2437276
869.7385,0.2331551
871.6669,0.222893
873.5954,0.2125185
875.5239,0.201955
877.4523,0.1914362
879.3808,0.1812639
881.3093,0.1721521
883.2377,0.1639725
885.1662,0.1566874
887.0947,0.1500764
889.0231,0.14395
890.9516,0.1379148
892.8801,0.1321234
894.8085,0.1267815
896.737,0.1221641
898.6655,0.1186078
900.5939,0.1161658
902.5224,0.1146461
904.4509,0.1141737
906.3793,0.1151336
908.3078,0.1174679
910.2363,0.121254
912.1647,0.1266747
914.0932,0.1334937
916.0217,0.1414784
917.9501,0.1501872
919.8786,0.1589998
921.8071,0.1670068
923.7355,0.1731177
925.664,0.1762123
927.5925,0.1759403
929.5209,0.1724287
931.4494,0.1663267
933.3779,0.1583172
935.3063,0.1492643
937.2348,0.1397953
939.1633,0.1302114
941.0917,0.120767
943.0202,0.1120151
944.9487,0.1044154
946.8771,0.09858735
948.8056,0.09489689
950.7341,0.09361353
952.6625,0.09444581
954.591,0.09667353
956.5195,0.09979399
958.4479,0.1036552
960.3764,0.1079403
962.3049,0.11252
964.2333,0.1175266
966.1618,0.1227695
968.0903,0.127941
970.0187,0.133017
971.9472,0.1378616
973.8757,0.1423183
975.8041,0.1460571
977.7326,0.1487868
979.6611,0.1500667
981.5895,0.1501574
983.518,0.1493179
985.4465,0.1476114
987.3749,0.1454443
989.3034,0.1430413
991.2319,0.1405627
993.1603,0.1377961
995.0888,0.1345261
997.0173,0.1313188
998.9457,0.1282211
1000.874,0.1250753
1002.803,0.1218509
1004.731,0.1183636
1006.66,0.1144131
1008.588,0.1103811
1010.517,0.1064841
1012.445,0.1026825
1014.373,0.09824507
1016.302,0.09299939
1018.23,0.08758929
1020.159,0.08263782
1022.087,0.07809968
1024.016,0.07383093
1025.944,0.06986588
1027.873,0.06618713
1029.801,0.06280887
1031.73,0.0599549
