x,y
399.1926,0.1898262
401.1211,0.1881498
403.0495,0.184736
404.978,0.1818805
406.9065,0.1817036
408.8349,0.1871654
410.7634,0.1918899
412.6919,0.197078
414.6203,0.2024202
416.5488,0.2036956
418.4773,0.2036617
420.4057,0.2051405
422.3342,0.2079693
424.2627,0.2091663
426.1911,0.208413
428.1196,0.2077398
430.0481,0.2087466
431.9765,0.2111421
433.905,0.2123762
435.8335,0.2107579
437.7619,0.2081159
439.6904,0.2055147
441.6189,0.1968703
443.5473,0.1862137
445.4758,0.1756623
447.4043,0.165424
449.3327,0.1548472
451.2612,0.1448937
453.1897,0.1360047
455.1181,0.1296885
457.0466,0.1246549
458.9751,0.1190788
460.9035,0.1136517
462.832,0.1093962
464.7605,0.1043002
466.6889,0.09926295
468.6174,0.09421147
470.5459,0.0895385
472.4743,0.08539696
474.4028,0.08140854
476.3313,0.077521
478.2597,0.07352843
480.1882,0.06999791
482.1167,0.06670116
484.0451,0.06389761
485.9736,0.06139132
487.9021,0.05847152
489.8305,0.05574388
491.759,0.0533256
493.6875,0.05094459
495.6159,0.04816124
497.5444,0.0460966
499.4729,0.04430655
501.4013,0.04293073
503.3298,0.04175787
505.2583,0.04103542
507.1867,0.04119305
509.1152,0.04106381
511.0437,0.04120934
512.9721,0.04209733
514.9006,0.04301755
516.829,0.04390047
518.7575,0.04399738
520.686,0.04403847
522.6144,0.04435658
524.5429,0.04533692
526.4714,0.04579298
528.3998,0.04597534
530.3283,0.04626717
532.2568,0.04596336
534.1852,0.04584337
536.1137,0.04544763
538.0422,0.04426095
539.9706,0.04269715
541.8991,0.04137229
543.8276,0.04024342
545.756,0.03864963
547.6845,0.03715166
549.613,0.0359735
551.5414,0.03528243
553.4699,0.03481882
555.3984,0.03419202
557.3268,0.03391839
559.2553,0.03383487
561.1838,0.0333515
563.1122,0.03309187
565.0407,0.03380661
566.9692,0.03468117
568.8976,0.03522233
570.8261,0.0360294
572.7546,0.03714086
574.683,0.03884474
576.6115,0.04010176
578.54,0.04158977
580.4684,0.04310196
582.3969,0.04448969
584.3254,0.04553836
586.2538,0.04697018
588.1823,0.04810775
590.1108,0.04876081
592.0392,0.04924948
593.9677,0.04912827
595.8962,0.04865512
597.8246,0.04785795
599.7531,0.04714896
601.6816,0.04681239
603.61,0.04662035
