x,y
399.1926,0.133112
401.1211,0.1424716
403.0495,0.1437582
404.978,0.1448252
406.9065,0.1512364
408.8349,0.1599735
410.7634,0.1664134
412.6919,0.1776218
414.6203,0.1879247
416.5488,0.1933003
418.4773,0.1995547
420.4057,0.2090641
422.3342,0.2204235
424.2627,0.2296575
426.1911,0.2358211
428.1196,0.2433357
430.0481,0.2515856
431.9765,0.2592046
433.905,0.2668172
435.8335,0.2759117
437.7619,0.2850593
439.6904,0.2950003
441.6189,0.2996118
443.5473,0.299892
445.4758,0.2930416
447.4043,0.2822996
449.3327,0.2756557
451.2612,0.2802812
453.1897,0.2930596
455.1181,0.3093247
457.0466,0.3240835
458.9751,0.3377527
460.9035,0.3458558
462.832,0.3532082
464.7605,0.3589335
466.6889,0.3621512
468.6174,0.3618323
470.5459,0.3574421
472.4743,0.350144
474.4028,0.3404171
476.3313,0.326294
478.2597,0.3105975
480.1882,0.2936645
482.1167,0.2765492
484.0451,0.2604611
485.9736,0.2487315
487.9021,0.2432948
489.8305,0.2473125
491.759,0.2615147
493.6875,0.2837668
495.6159,0.3065614
497.5444,0.3245105
499.4729,0.3335386
501.4013,0.3343382
503.3298,0.3303009
505.2583,0.3226648
507.1867,0.3125862
509.1152,0.2988039
511.0437,0.2849004
512.9721,0.272368
514.9006,0.261315
516.829,0.2517653
518.7575,0.2410825
520.686,0.2306015
522.6144,0.2214206
524.5429,0.2137257
526.4714,0.2048525
528.3998,0.196192
530.3283,0.1888958
532.2568,0.1814058
534.1852,0.1739015
536.1137,0.1669697
538.0422,0.1607456
539.9706,0.1545567
541.8991,0.1488226
543.8276,0.1433182
545.756,0.1372261
547.6845,0.1315981
549.613,0.1266439
551.5414,0.1223144
553.4699,0.118692
555.3984,0.1155001
557.3268,0.1131347
559.2553,0.1110867
561.1838,0.1098351
563.1122,0.1097416
565.0407,0.1103211
566.9692,0.1108645
568.8976,0.1108516
570.8261,0.1105427
572.7546,0.110463
574.683,0.110876
576.6115,0.110282
578.54,0.1091004
580.4684,0.1076839
582.3969,0.1060688
584.3254,0.1043044
586.2538,0.1028292
588.1823,0.1009122
590.1108,0.09894798
592.0392,0.09763947
593.9677,0.09623659
595.8962,0.09503001
597.8246,0.09428278
599.7531,0.09425724
601.6816,0.09496052
603.61,0.09644109
605.5385,0.09897749
607.467,0.1026444
609.3954,0.1072791
611.3239,0.1133522
613.2524,0.1211073
615.1808,0.130901
617.1093,0.1424543
619.0378,0.155349
620.9662,0.1682503
622.8947,0.1789531
624.8232,0.18518
626.7516,0.1843686
628.6801,0.175833
630.6086,0.1619344
632.537,0.1452282
634.4655,0.1284161
636.394,0.113657
638.3224,0.1016773
640.2509,0.09225961
642.1794,0.08507821
644.1078,0.08016224
646.0363,0.07678273
647.9648,0.07424809
649.8932,0.07250775
651.8217,0.0716379
653.7502,0.07144146
655.6786,0.07206671
657.6071,0.07306805
659.5356,0.07406044
661.4641,0.07529033
663.3925,0.07628687
665.321,0.07701857
667.2495,0.07759842
669.1779,0.07772438
671.1064,0.07722684
673.0349,0.07674804
674.9633,0.0763253
676.8918,0.07550807
678.8203,0.07417584
680.7487,0.07256691
682.6772,0.07045759
684.6057,0.06796915
686.5341,0.0653147
688.4626,0.06236711
690.3911,0.0594546
692.3195,0.05667883
694.248,0.05385851
696.1765,0.05107164
698.1049,0.0481616
700.0334,0.04580817
701.9619,0.0434604
703.8903,0.0415974
705.8188,0.03990147
707.7473,0.03807638
709.6757,0.03651659
711.6042,0.03545655
713.5327,0.03435682
715.4611,0.03324579
717.3896,0.03227595
719.3181,0.03119958
721.2465,0.03002279
723.175,0.02923625
725.1035,0.02874504
727.0319,0.02796256
728.9604,0.0272996
730.8889,0.02686324
732.8173,0.02632856
734.7458,0.02603268
736.6743,0.02598753
738.6027,0.0258045
740.5312,0.0255248
742.4597,0.02507405
744.3881,0.02476549
746.3166,0.02471362
748.2451,0.02443197
750.1735,0.02421083
752.102,0.02420219
754.0305,0.02417723
755.9589,0.02415446
757.8874,0.02390896
759.8159,0.02414934
761.7443,0.02453771
763.6728,0.02450097
765.6013,0.02436796
767.5297,0.02476562
769.4582,0.02508681
771.3867,0.02510814
773.3151,0.02496505
775.2436,0.02511349
777.1721,0.02542867
779.1005,0.02575201
781.029,0.02621967
782.9575,0.02662908
784.8859,0.02669961
786.8144,0.02696143
788.7429,0.02739014
790.6713,0.02804703
792.5998,0.02838924
794.5283,0.02831778
796.4567,0.02855463
798.3852,0.02879738
800.3137,0.02885633
802.2421,0.02885442
804.1706,0.02903301
806.0991,0.02918678
808.0275,0.02919428
809.956,0.02936894
811.8845,0.0295339
813.8129,0.02945703
815.7414,0.02946804
817.6699,0.02948276
819.5983,0.02956557
821.5268,0.02973214
823.4553,0.02999438
825.3837,0.03016895
827.3122,0.03052389
829.2407,0.03075995
831.1691,0.03099741
833.0976,0.03121838
835.0261,0.0319362
836.9545,0.03244076
838.883,0.03291058
840.8115,0.03368761
842.7399,0.03460059
844.6684,0.03551272
846.5969,0.03631433
848.5253,0.03699534
850.4538,0.03774964
852.3823,0.0385015
854.3107,0.03907529
856.2392,0.03961113
858.1677,0.04069668
860.0961,0.04161867
862.0246,0.04218123
863.9531,0.04276973
865.8815,0.04356913
867.81,0.04435356
869.7385,0.04506344
