x,y
399.1926,0.1673156
401.1211,0.1769011
403.0495,0.1773114
404.978,0.1749782
406.9065,0.1729574
408.8349,0.1648692
410.7634,0.1533675
412.6919,0.1468856
414.6203,0.140856
416.5488,0.1326303
418.4773,0.1285956
420.4057,0.1292619
422.3342,0.1289116
424.2627,0.1302325
426.1911,0.1322944
428.1196,0.132888
430.0481,0.1354175
431.9765,0.1387969
433.905,0.1402176
435.8335,0.1396793
437.7619,0.1392604
439.6904,0.1393424
441.6189,0.135672
443.5473,0.1311645
445.4758,0.1263772
447.4043,0.1212185
449.3327,0.117976
451.2612,0.1158075
453.1897,0.1147364
455.1181,0.1175947
457.0466,0.1230997
458.9751,0.1264601
460.9035,0.1270184
462.832,0.1262799
464.7605,0.1229469
466.6889,0.1199698
468.6174,0.1185621
470.5459,0.1176557
472.4743,0.1168287
474.4028,0.1151858
476.3313,0.1109257
478.2597,0.1056846
480.1882,0.100871
482.1167,0.0963444
484.0451,0.09342291
485.9736,0.0931804
487.9021,0.09546102
489.8305,0.09977542
491.759,0.1047006
493.6875,0.1094906
495.6159,0.1133755
497.5444,0.1166414
499.4729,0.1180777
501.4013,0.1177285
503.3298,0.1170135
505.2583,0.1149136
507.1867,0.1115383
509.1152,0.1081038
511.0437,0.10411
512.9721,0.1001104
514.9006,0.09628407
516.829,0.09201679
518.7575,0.08689642
520.686,0.08169449
522.6144,0.07711957
524.5429,0.07383075
526.4714,0.07122967
528.3998,0.06970724
530.3283,0.06874523
532.2568,0.06795935
534.1852,0.06748039
536.1137,0.06530336
538.0422,0.06153942
539.9706,0.05737155
541.8991,0.05286177
543.8276,0.04819334
545.756,0.04356575
547.6845,0.03960532
549.613,0.03620154
551.5414,0.03339658
553.4699,0.03097327
555.3984,0.02923053
557.3268,0.02794502
559.2553,0.02653575
561.1838,0.0255106
563.1122,0.02509513
565.0407,0.02476593
566.9692,0.02431773
568.8976,0.02361086
570.8261,0.02292474
572.7546,0.02245386
574.683,0.02233029
576.6115,0.02221522
578.54,0.02210188
580.4684,0.02233171
582.3969,0.02243799
584.3254,0.02243341
586.2538,0.02257114
588.1823,0.02261344
590.1108,0.02273748
592.0392,0.02316876
593.9677,0.0234899
595.8962,0.02352121
597.8246,0.0237683
599.7531,0.02402239
601.6816,0.02431462
603.61,0.02465194
605.5385,0.02480737
607.467,0.02481903
609.3954,0.02505542
