x,y
399.1926,0.0915636
401.1211,0.09601284
403.0495,0.09925864
404.978,0.1026919
406.9065,0.1051811
408.8349,0.1076449
410.7634,0.1052791
412.6919,0.1025293
414.6203,0.102974
416.5488,0.1065091
418.4773,0.1115051
420.4057,0.1162578
422.3342,0.1205846
424.2627,0.1229049
426.1911,0.1227942
428.1196,0.1209604
430.0481,0.1189785
431.9765,0.1168281
433.905,0.114269
435.8335,0.1108199
437.7619,0.1077283
439.6904,0.1075848
441.6189,0.1095235
443.5473,0.1135242
445.4758,0.1173601
447.4043,0.1201035
449.3327,0.1199235
451.2612,0.1167589
453.1897,0.113175
455.1181,0.1114352
457.0466,0.1099067
458.9751,0.1074309
460.9035,0.1037281
462.832,0.1002276
464.7605,0.0962145
466.6889,0.09256276
468.6174,0.08870634
470.5459,0.08513056
472.4743,0.08318113
474.4028,0.08300512
476.3313,0.08270021
478.2597,0.08185077
480.1882,0.08049213
482.1167,0.07783341
484.0451,0.07421617
485.9736,0.0698247
487.9021,0.06430161
489.8305,0.05859201
491.759,0.05371191
493.6875,0.05105082
495.6159,0.05123436
497.5444,0.05406722
499.4729,0.05847134
501.4013,0.0641221
503.3298,0.07067931
505.2583,0.07652596
507.1867,0.08079731
509.1152,0.08287515
511.0437,0.08349742
512.9721,0.08440702
514.9006,0.08557864
516.829,0.08562075
518.7575,0.08348423
520.686,0.07937256
522.6144,0.07404018
524.5429,0.06974303
526.4714,0.06791978
528.3998,0.06966379
530.3283,0.07372387
532.2568,0.07891281
534.1852,0.08531455
536.1137,0.09121709
538.0422,0.09526092
539.9706,0.09784866
541.8991,0.09990635
543.8276,0.1011257
545.756,0.1018424
547.6845,0.1026201
549.613,0.1031668
551.5414,0.1028683
553.4699,0.1010573
555.3984,0.09820291
557.3268,0.09444416
559.2553,0.09071247
561.1838,0.08883077
563.1122,0.08836122
565.0407,0.08858331
566.9692,0.08906402
568.8976,0.08910295
570.8261,0.08927032
572.7546,0.09015284
574.683,0.09165737
576.6115,0.09337394
578.54,0.09480015
580.4684,0.09506235
582.3969,0.09358017
584.3254,0.09095997
586.2538,0.088053
588.1823,0.08542737
590.1108,0.08330864
592.0392,0.0816329
593.9677,0.08017145
595.8962,0.07918648
597.8246,0.07846793
599.7531,0.077715
601.6816,0.07656512
603.61,0.07439489
605.5385,0.07133367
607.467,0.06753514
609.3954,0.06307895
611.3239,0.05823985
613.2524,0.05349812
615.1808,0.04937338
617.1093,0.04609495
619.0378,0.04345823
620.9662,0.04109324
622.8947,0.03921919
624.8232,0.03785515
626.7516,0.03668621
628.6801,0.03556009
630.6086,0.03495899
632.537,0.03472691
634.4655,0.03437423
636.394,0.03337754
638.3224,0.03137764
640.2509,0.02906432
642.1794,0.02701895
644.1078,0.02557152
646.0363,0.02471664
647.9648,0.02435282
649.8932,0.02452262
651.8217,0.02529417
653.7502,0.02692221
655.6786,0.02947729
657.6071,0.03257636
659.5356,0.03616128
661.4641,0.03980055
663.3925,0.04204711
665.321,0.04212337
667.2495,0.04018413
669.1779,0.03650898
671.1064,0.03255878
673.0349,0.02961477
674.9633,0.02785697
676.8918,0.02683928
678.8203,0.02618596
680.7487,0.02548226
682.6772,0.02445201
684.6057,0.02320283
686.5341,0.02197069
688.4626,0.02095324
690.3911,0.02047569
692.3195,0.02016626
694.248,0.01988148
696.1765,0.01973551
698.1049,0.01950293
700.0334,0.01938155
701.9619,0.01932095
703.8903,0.019562
705.8188,0.01993802
707.7473,0.01998731
709.6757,0.02019186
711.6042,0.02056734
713.5327,0.02089166
715.4611,0.02117588
717.3896,0.02138063
719.3181,0.02150273
721.2465,0.0216317
723.175,0.02195648
725.1035,0.02236421
727.0319,0.02275588
728.9604,0.0231711
730.8889,0.02359154
732.8173,0.02399273
734.7458,0.02450705
736.6743,0.02509157
738.6027,0.02576606
740.5312,0.02646144
742.4597,0.02699396
744.3881,0.02760128
746.3166,0.02850578
748.2451,0.02932833
750.1735,0.0302471
752.102,0.03135662
754.0305,0.03249949
755.9589,0.03357568
757.8874,0.03471639
759.8159,0.03611723
761.7443,0.03774517
763.6728,0.03940748
765.6013,0.04117773
767.5297,0.04352632
769.4582,0.04600653
771.3867,0.04851855
773.3151,0.05081313
775.2436,0.05278665
777.1721,0.05416428
779.1005,0.05420187
781.029,0.05290202
782.9575,0.05064989
784.8859,0.04820839
786.8144,0.04637192
788.7429,0.0455558
790.6713,0.04570118
792.5998,0.04638311
794.5283,0.04751072
796.4567,0.04926153
798.3852,0.05126466
800.3137,0.05341604
802.2421,0.05581842
804.1706,0.05853209
806.0991,0.06154489
808.0275,0.06453354
809.956,0.06746523
811.8845,0.07054363
813.8129,0.07358512
815.7414,0.07661711
817.6699,0.07929588
819.5983,0.08130828
821.5268,0.08269314
823.4553,0.08343723
825.3837,0.08337846
827.3122,0.08305571
829.2407,0.08327761
831.1691,0.08443043
833.0976,0.08646242
835.0261,0.08935885
836.9545,0.09270924
838.883,0.09629612
840.8115,0.1000008
842.7399,0.1035839
844.6684,0.1068112
846.5969,0.1095676
848.5253,0.1119213
850.4538,0.1136072
852.3823,0.1142802
854.3107,0.1143757
856.2392,0.1148
858.1677,0.1159412
860.0961,0.1174169
862.0246,0.1192506
863.9531,0.1213328
865.8815,0.1232789
867.81,0.1247208
869.7385,0.1260818
871.6669,0.1270931
873.5954,0.1275964
875.5239,0.1275083
877.4523,0.1267047
879.3808,0.1251528
881.3093,0.1234341
883.2377,0.1220414
885.1662,0.1211102
887.0947,0.120362
889.0231,0.1194269
890.9516,0.1178455
892.8801,0.1156271
894.8085,0.1128391
896.737,0.1094798
898.6655,0.1061199
900.5939,0.1032445
902.5224,0.101278
904.4509,0.1007051
906.3793,0.1018827
908.3078,0.1044919
910.2363,0.1079759
912.1647,0.1115666
914.0932,0.1146823
916.0217,0.1170304
917.9501,0.118498
919.8786,0.1194186
921.8071,0.1198504
923.7355,0.120124
925.664,0.1203911
927.5925,0.120502
929.5209,0.1202123
931.4494,0.1194619
933.3779,0.1182693
935.3063,0.1167967
937.2348,0.1151109
939.1633,0.1131667
941.0917,0.1109855
943.0202,0.1086508
944.9487,0.106048
946.8771,0.1031481
948.8056,0.09968682
950.7341,0.09582855
952.6625,0.09186372
954.591,0.08771335
956.5195,0.08328786
958.4479,0.07902312
960.3764,0.07508107
962.3049,0.07146327
964.2333,0.06831839
966.1618,0.06589771
968.0903,0.06421795
970.0187,0.06349302
971.9472,0.06366725
973.8757,0.0647085
975.8041,0.06629895
977.7326,0.06797701
979.6611,0.06915731
981.5895,0.06954002
983.518,0.06940058
985.4465,0.06896528
987.3749,0.06855702
989.3034,0.06887805
991.2319,0.06994902
993.1603,0.07156385
995.0888,0.0737886
997.0173,0.07610673
998.9457,0.07819408
1000.874,0.07961323
1002.803,0.08001436
1004.731,0.07913288
1006.66,0.0769894
1008.588,0.07386791
1010.517,0.07037959
1012.445,0.06733321
1014.373,0.06506081
1016.302,0.06376179
1018.23,0.06368595
1020.159,0.06518711
1022.087,0.06794396
1024.016,0.07145766
1025.944,0.07548515
1027.873,0.07953325
1029.801,0.08328807
1031.73,0.08652556
1033.658,0.08889943
1035.587,0.09038022
1037.515,0.09069604
1039.443,0.08991609
1041.372,0.08825089
1043.3,0.08596254
1045.229,0.08307045
1047.157,0.07987929
1049.086,0.07703107
1051.014,0.07486849
1052.943,0.0735013
1054.871,0.07325844
1056.8,0.07403667
1058.728,0.07569759
1060.657,0.07755077
1062.585,0.07911157
1064.514,0.07999558
1066.442,0.08018421
1068.37,0.07929456
1070.299,0.07729187
1072.227,0.07451587
1074.156,0.07106309
1076.084,0.06721
1078.013,0.06319608
1079.941,0.05901272
1081.87,0.05511099
1083.798,0.05166364
1085.727,0.04853236
1087.655,0.04598291
1089.584,0.04423478
1091.512,0.04287851
1093.441,0.04179547
1095.369,0.04081204
1097.297,0.03978387
1099.226,0.03864504
1101.154,0.03736667
1103.083,0.03610262
