x,y
374.1225,0.05994009
376.051,0.05937627
377.9795,0.05697841
379.9079,0.05305488
381.8364,0.0529229
383.7649,0.05274076
385.6933,0.0489052
387.6218,0.04521104
389.5503,0.04682158
391.4787,0.04793686
393.4072,0.04356141
395.3357,0.04298993
397.2641,0.04513586
399.1926,0.04382564
401.1211,0.04099758
403.0495,0.04259274
404.978,0.04456211
406.9065,0.04268644
408.8349,0.04291064
410.7634,0.04386152
412.6919,0.04441037
414.6203,0.04548139
416.5488,0.04702181
418.4773,0.04836595
420.4057,0.05008702
422.3342,0.05125362
424.2627,0.0521966
426.1911,0.05343633
428.1196,0.05490644
430.0481,0.05747603
431.9765,0.05908541
433.905,0.06056241
435.8335,0.06208622
437.7619,0.06382962
439.6904,0.06631403
441.6189,0.06842415
443.5473,0.06956803
445.4758,0.07025074
447.4043,0.07086968
449.3327,0.07078284
451.2612,0.06928459
453.1897,0.06793912
455.1181,0.0667223
457.0466,0.0655253
458.9751,0.0643857
460.9035,0.06326563
462.832,0.06272562
464.7605,0.06247638
466.6889,0.06291921
468.6174,0.06335942
470.5459,0.0633617
472.4743,0.06330213
474.4028,0.06289297
476.3313,0.06191813
478.2597,0.0608387
480.1882,0.06026962
482.1167,0.05990045
484.0451,0.05960331
485.9736,0.05953798
487.9021,0.05938449
489.8305,0.05957854
491.759,0.05993044
493.6875,0.06040903
495.6159,0.06112057
497.5444,0.06269619
499.4729,0.06433754
501.4013,0.06593131
503.3298,0.06782841
505.2583,0.07005996
507.1867,0.07253898
509.1152,0.07499127
511.0437,0.07774299
512.9721,0.08010668
514.9006,0.08273263
516.829,0.0864587
518.7575,0.08979512
520.686,0.09335703
522.6144,0.09794081
524.5429,0.1028487
526.4714,0.1077515
528.3998,0.1131395
530.3283,0.1190556
532.2568,0.1257033
534.1852,0.1333965
536.1137,0.1420226
538.0422,0.1515631
539.9706,0.1612726
541.8991,0.1712177
543.8276,0.1809707
545.756,0.1888863
547.6845,0.1943235
549.613,0.196453
551.5414,0.1953537
553.4699,0.1925205
555.3984,0.1884788
557.3268,0.1827634
559.2553,0.1753712
561.1838,0.1675541
563.1122,0.1590265
565.0407,0.1503106
566.9692,0.1421436
568.8976,0.1346042
570.8261,0.1277903
572.7546,0.1212571
574.683,0.1154693
576.6115,0.1109073
578.54,0.1074743
580.4684,0.1054239
582.3969,0.1045991
584.3254,0.1045885
586.2538,0.1051091
588.1823,0.1056894
590.1108,0.1056557
592.0392,0.1051504
593.9677,0.1035345
595.8962,0.1015127
597.8246,0.09981275
599.7531,0.09856328
601.6816,0.09822321
603.61,0.09812144
605.5385,0.09744005
607.467,0.09611639
609.3954,0.09362971
611.3239,0.08992038
613.2524,0.08491085
615.1808,0.07947421
617.1093,0.07460838
619.0378,0.0702946
620.9662,0.06663713
622.8947,0.06393433
624.8232,0.06188461
626.7516,0.06004576
628.6801,0.05823456
630.6086,0.056976
632.537,0.0559364
634.4655,0.05507344
636.394,0.05462862
638.3224,0.05430156
640.2509,0.05392573
642.1794,0.05374305
644.1078,0.05393614
646.0363,0.05398149
647.9648,0.05379734
649.8932,0.05352589
651.8217,0.05323838
653.7502,0.0528946
655.6786,0.0522428
657.6071,0.05163272
659.5356,0.05081961
661.4641,0.04987338
663.3925,0.04902564
665.321,0.04836446
667.2495,0.04794002
669.1779,0.04722187
671.1064,0.04625012
673.0349,0.04548278
674.9633,0.04493042
676.8918,0.04436737
678.8203,0.04383987
680.7487,0.04349189
682.6772,0.04302355
684.6057,0.04251917
686.5341,0.04241376
688.4626,0.0423413
690.3911,0.042219
692.3195,0.04216558
694.248,0.04197051
696.1765,0.04192828
698.1049,0.04196606
700.0334,0.04211092
701.9619,0.0420495
703.8903,0.04200109
705.8188,0.04210004
707.7473,0.04222607
709.6757,0.04238573
711.6042,0.04272559
713.5327,0.04321577
715.4611,0.04357458
717.3896,0.04383656
719.3181,0.04405339
721.2465,0.04447976
723.175,0.04509297
725.1035,0.04579725
727.0319,0.04627942
728.9604,0.04674223
730.8889,0.04714644
732.8173,0.04756789
734.7458,0.04806676
736.6743,0.04855203
738.6027,0.04898891
740.5312,0.04937232
742.4597,0.04966995
744.3881,0.04980065
746.3166,0.05006427
748.2451,0.0502984
750.1735,0.0504156
752.102,0.05054384
754.0305,0.05080071
755.9589,0.05111566
757.8874,0.05121868
759.8159,0.05134908
761.7443,0.05138152
763.6728,0.0515393
765.6013,0.05178601
767.5297,0.05193668
769.4582,0.05208888
771.3867,0.05211163
773.3151,0.0520918
775.2436,0.05234309
777.1721,0.05276842
779.1005,0.05313863
781.029,0.05329759
782.9575,0.05356016
784.8859,0.05374277
786.8144,0.05401083
788.7429,0.05447438
790.6713,0.0550393
792.5998,0.05540761
794.5283,0.0557734
796.4567,0.056525
798.3852,0.05726182
800.3137,0.05789085
802.2421,0.05847038
804.1706,0.0592641
806.0991,0.06026522
808.0275,0.06122659
809.956,0.06217057
811.8845,0.06314337
813.8129,0.06417888
815.7414,0.06540295
817.6699,0.06669132
819.5983,0.06802358
821.5268,0.06954863
823.4553,0.07120983
825.3837,0.07297718
827.3122,0.07474653
829.2407,0.0766031
831.1691,0.07859682
833.0976,0.08055665
835.0261,0.08260986
836.9545,0.08481015
838.883,0.0871644
840.8115,0.08964593
842.7399,0.0922111
844.6684,0.09486451
846.5969,0.09754927
848.5253,0.1001952
850.4538,0.1030608
852.3823,0.1061807
854.3107,0.1094315
856.2392,0.1126926
858.1677,0.1163631
860.0961,0.1200688
862.0246,0.1236634
863.9531,0.1273075
865.8815,0.131314
867.81,0.1353522
869.7385,0.1393378
871.6669,0.1434806
873.5954,0.1478084
875.5239,0.1522867
877.4523,0.157132
879.3808,0.162105
881.3093,0.1670361
883.2377,0.1718844
885.1662,0.1769741
887.0947,0.1822963
889.0231,0.1876232
890.9516,0.1931154
892.8801,0.1986859
894.8085,0.2039685
896.737,0.2092797
898.6655,0.2147441
900.5939,0.219874
902.5224,0.224836
904.4509,0.2296837
906.3793,0.2342804
908.3078,0.2385416
910.2363,0.2424566
912.1647,0.2458492
914.0932,0.2487735
916.0217,0.2513537
917.9501,0.2531736
919.8786,0.2539436
921.8071,0.2539186
923.7355,0.2533091
925.664,0.2521882
927.5925,0.2508377
929.5209,0.2494827
931.4494,0.2481982
933.3779,0.2465895
935.3063,0.244798
937.2348,0.2430182
939.1633,0.2413522
941.0917,0.2398554
943.0202,0.2384277
944.9487,0.2369681
946.8771,0.2358965
948.8056,0.2353111
950.7341,0.2349121
952.6625,0.2343058
954.591,0.2332087
956.5195,0.2317892
958.4479,0.2304715
960.3764,0.2297172
962.3049,0.2299949
964.2333,0.2307792
966.1618,0.2313857
968.0903,0.2316024
970.0187,0.2311836
971.9472,0.2300959
973.8757,0.2284239
975.8041,0.2262389
977.7326,0.2236374
979.6611,0.2207523
981.5895,0.2176196
983.518,0.2144197
985.4465,0.2114517
987.3749,0.2085306
989.3034,0.2056949
991.2319,0.202898
993.1603,0.2002901
995.0888,0.1976901
997.0173,0.1949038
998.9457,0.192101
1000.874,0.1895905
1002.803,0.1873017
1004.731,0.185151
1006.66,0.1831902
1008.588,0.1813683
1010.517,0.1796016
1012.445,0.1782258
1014.373,0.1771415
1016.302,0.1763537
1018.23,0.1757829
1020.159,0.1756998
1022.087,0.175848
1024.016,0.1758864
1025.944,0.1762765
1027.873,0.1770212
1029.801,0.1779388
