x,y
374.1225,0.07709116
376.051,0.06536324
377.9795,0.05973773
379.9079,0.05708623
381.8364,0.05617515
383.7649,0.05462328
385.6933,0.0568449
387.6218,0.05930961
389.5503,0.0613431
391.4787,0.06182415
393.4072,0.06191359
395.3357,0.06504161
397.2641,0.07164264
399.1926,0.07338621
401.1211,0.07495145
403.0495,0.08087204
404.978,0.08643375
406.9065,0.08872105
408.8349,0.0928717
410.7634,0.09880856
412.6919,0.1017621
414.6203,0.1048328
416.5488,0.1080153
418.4773,0.1130413
420.4057,0.1178222
422.3342,0.1208045
424.2627,0.122828
426.1911,0.125401
428.1196,0.1286916
430.0481,0.1326263
431.9765,0.1372051
433.905,0.1398241
435.8335,0.1405968
437.7619,0.1421117
439.6904,0.1441554
441.6189,0.1453011
443.5473,0.1459729
445.4758,0.1465703
447.4043,0.1461076
449.3327,0.1438054
451.2612,0.1416164
453.1897,0.139411
455.1181,0.1388759
457.0466,0.1402536
458.9751,0.1421789
460.9035,0.1434626
462.832,0.1442844
464.7605,0.1441726
466.6889,0.1435724
468.6174,0.1427707
470.5459,0.1401281
472.4743,0.1365387
474.4028,0.1337033
476.3313,0.1322587
478.2597,0.1318097
480.1882,0.1320046
482.1167,0.1332615
484.0451,0.1354968
485.9736,0.1360544
487.9021,0.1344999
489.8305,0.1324855
491.759,0.1289854
493.6875,0.1242989
495.6159,0.119143
497.5444,0.1143484
499.4729,0.1093737
501.4013,0.1048926
503.3298,0.1012133
505.2583,0.09810916
507.1867,0.09503875
509.1152,0.09136717
511.0437,0.08769176
512.9721,0.08397724
514.9006,0.08098277
516.829,0.07935089
518.7575,0.07779708
520.686,0.07686608
522.6144,0.07722158
524.5429,0.07796498
526.4714,0.07847862
528.3998,0.07927246
530.3283,0.08061054
532.2568,0.08166642
534.1852,0.08280493
536.1137,0.08411958
538.0422,0.0855284
539.9706,0.08624358
541.8991,0.08696499
543.8276,0.08822882
545.756,0.08922071
547.6845,0.0900853
549.613,0.09111238
551.5414,0.09213304
553.4699,0.09284452
555.3984,0.09346532
557.3268,0.09453334
559.2553,0.09488228
561.1838,0.09518106
563.1122,0.09589712
565.0407,0.09631092
566.9692,0.09641895
568.8976,0.09684395
570.8261,0.097804
572.7546,0.09859795
574.683,0.09933189
576.6115,0.1000681
578.54,0.1009991
580.4684,0.1021092
582.3969,0.1034288
584.3254,0.1047037
586.2538,0.1059671
588.1823,0.1073015
590.1108,0.1086268
592.0392,0.1102742
593.9677,0.1120675
595.8962,0.1137681
597.8246,0.115386
599.7531,0.11663
601.6816,0.1181113
603.61,0.1196062
605.5385,0.1208198
607.467,0.1221263
609.3954,0.1229827
611.3239,0.1239263
613.2524,0.1251853
615.1808,0.1266861
617.1093,0.128456
619.0378,0.1300173
620.9662,0.1314317
622.8947,0.1335606
624.8232,0.1358915
626.7516,0.137815
628.6801,0.1395309
630.6086,0.1409231
632.537,0.1417941
634.4655,0.142803
636.394,0.1439049
638.3224,0.1448422
640.2509,0.1459802
642.1794,0.1472443
644.1078,0.1487871
646.0363,0.1503506
647.9648,0.1513606
649.8932,0.1521321
651.8217,0.1531147
653.7502,0.1540926
655.6786,0.1545365
657.6071,0.1547853
659.5356,0.1541966
661.4641,0.1527316
663.3925,0.1510801
665.321,0.1495672
667.2495,0.1479233
669.1779,0.1459503
671.1064,0.1437913
673.0349,0.1419071
674.9633,0.1402134
676.8918,0.1384338
678.8203,0.1365382
680.7487,0.1349321
682.6772,0.1333484
684.6057,0.1312899
686.5341,0.1288156
688.4626,0.1259484
690.3911,0.1223475
692.3195,0.1178384
694.248,0.1124729
696.1765,0.1067686
698.1049,0.1008289
700.0334,0.09515682
701.9619,0.09012555
703.8903,0.0862249
705.8188,0.0829947
707.7473,0.0803346
709.6757,0.07831582
711.6042,0.07668588
713.5327,0.07517039
715.4611,0.07365874
717.3896,0.07236502
719.3181,0.0713848
721.2465,0.07066792
723.175,0.07030857
725.1035,0.0701433
727.0319,0.06983133
728.9604,0.06967092
730.8889,0.06944463
732.8173,0.06934038
734.7458,0.06942872
736.6743,0.06951386
738.6027,0.06985087
740.5312,0.07044012
742.4597,0.07131534
744.3881,0.07227542
746.3166,0.07326221
748.2451,0.07446878
750.1735,0.0757727
752.102,0.07692099
754.0305,0.07748087
755.9589,0.07715823
757.8874,0.07565455
759.8159,0.07353245
761.7443,0.07303181
763.6728,0.07727767
765.6013,0.0858238
767.5297,0.09584024
769.4582,0.1055842
771.3867,0.1140775
773.3151,0.1209226
775.2436,0.1251205
777.1721,0.1260532
779.1005,0.1241746
781.029,0.1196705
782.9575,0.1118237
784.8859,0.1008395
786.8144,0.08920241
788.7429,0.0799676
790.6713,0.07450188
792.5998,0.07100303
794.5283,0.06731427
796.4567,0.06334841
798.3852,0.05935594
800.3137,0.05541585
802.2421,0.05167157
804.1706,0.04823347
806.0991,0.04510095
808.0275,0.04211738
809.956,0.03915676
811.8845,0.03646049
813.8129,0.03408771
815.7414,0.03192167
817.6699,0.03017767
819.5983,0.02904958
821.5268,0.02861669
823.4553,0.02843763
825.3837,0.02844736
827.3122,0.02841667
829.2407,0.02816869
831.1691,0.02787998
833.0976,0.02736598
835.0261,0.02692918
836.9545,0.02649078
838.883,0.0260282
840.8115,0.02567903
842.7399,0.02550196
844.6684,0.02555787
846.5969,0.02549625
848.5253,0.025271
850.4538,0.02511794
852.3823,0.02502387
854.3107,0.02503209
856.2392,0.02518626
858.1677,0.02554876
860.0961,0.02579279
862.0246,0.02610381
863.9531,0.02651055
865.8815,0.02707695
867.81,0.02775333
869.7385,0.02836556
871.6669,0.02901772
873.5954,0.029743
875.5239,0.03051599
877.4523,0.03132609
879.3808,0.0321487
881.3093,0.03278346
883.2377,0.03326365
885.1662,0.03405935
887.0947,0.03485475
889.0231,0.03534406
890.9516,0.03584063
892.8801,0.03641555
894.8085,0.03704928
896.737,0.03785894
898.6655,0.03880063
900.5939,0.03952299
902.5224,0.04058916
904.4509,0.04189016
906.3793,0.0429702
908.3078,0.04412171
910.2363,0.04531651
912.1647,0.04645096
914.0932,0.04744845
916.0217,0.04837228
917.9501,0.04943737
919.8786,0.05061594
921.8071,0.05169813
923.7355,0.05280573
925.664,0.05410679
927.5925,0.05589629
929.5209,0.05780392
931.4494,0.05971961
933.3779,0.06183541
935.3063,0.06436177
937.2348,0.06721964
939.1633,0.07028643
941.0917,0.07374523
943.0202,0.07749826
944.9487,0.08148367
946.8771,0.08572334
948.8056,0.09030688
950.7341,0.09490494
952.6625,0.09894989
954.591,0.1019984
956.5195,0.103631
958.4479,0.1030106
960.3764,0.1000128
962.3049,0.09528939
964.2333,0.08949891
966.1618,0.08358991
968.0903,0.07865576
970.0187,0.07470579
971.9472,0.07162766
973.8757,0.06957395
975.8041,0.06829594
977.7326,0.0673226
979.6611,0.06673562
981.5895,0.06640042
983.518,0.06601125
985.4465,0.06584484
987.3749,0.06586663
989.3034,0.06601287
991.2319,0.06586318
993.1603,0.06568554
995.0888,0.06580248
997.0173,0.0660163
998.9457,0.06616946
1000.874,0.06650802
1002.803,0.06691733
1004.731,0.06704689
1006.66,0.06702329
1008.588,0.06700162
1010.517,0.06685897
1012.445,0.06686192
1014.373,0.06656849
1016.302,0.06583922
1018.23,0.06512979
1020.159,0.06461086
1022.087,0.06415295
1024.016,0.06366292
1025.944,0.06324749
1027.873,0.0628342
1029.801,0.06237784
1031.73,0.06183255
1033.658,0.06115734
1035.587,0.06043049
1037.515,0.05965624
1039.443,0.05883368
1041.372,0.05790553
1043.3,0.056869
1045.229,0.05596427
1047.157,0.05534756
1049.086,0.05480614
1051.014,0.05434263
1052.943,0.05401444
1054.871,0.0536942
1056.8,0.05354126
1058.728,0.0535768
1060.657,0.05370262
1062.585,0.05379519
1064.514,0.05386484
1066.442,0.05399152
1068.37,0.05431038
1070.299,0.05456107
1072.227,0.05469138
1074.156,0.05490782
1076.084,0.05523935
1078.013,0.0554368
1079.941,0.05529646
1081.87,0.05472565
1083.798,0.05391746
1085.727,0.05331619
1087.655,0.05299797
1089.584,0.05281163
1091.512,0.05263321
1093.441,0.05232269
1095.369,0.05181854
1097.297,0.05127542
1099.226,0.05071603
1101.154,0.05007671
1103.083,0.04948556
1105.011,0.04889773
1106.94,0.04829613
1108.868,0.04769893
1110.797,0.04714515
1112.725,0.04664543
1114.654,0.04618777
1116.582,0.04556741
1118.511,0.04507936
1120.439,0.04481575
1122.368,0.04458408
1124.296,0.04421297
1126.224,0.0437942
1128.153,0.04347226
1130.081,0.04325608
1132.01,0.04309136
1133.938,0.04280061
1135.867,0.04258301
1137.795,0.04262627
1139.724,0.04270465
1141.652,0.04270872
1143.581,0.04282333
1145.509,0.04303483
1147.438,0.04332686
1149.366,0.04361558
1151.295,0.04390582
1153.223,0.04415716
1155.151,0.04433101
1157.08,0.04435946
1159.008,0.04422553
1160.937,0.04375298
1162.865,0.04301929
1164.794,0.04214953
1166.722,0.04121059
1168.651,0.04053191
1170.579,0.04004267
1172.508,0.03988076
1174.436,0.04004784
1176.365,0.04024163
1178.293,0.04055388
1180.222,0.04073622
1182.15,0.04081611
1184.078,0.0409941
1186.007,0.0410859
1187.935,0.04085391
1189.864,0.04047636
1191.792,0.03998495
1193.721,0.03944769
1195.649,0.03885804
1197.578,0.03821227
1199.506,0.03758676
1201.435,0.03694772
1203.363,0.0364524
1205.292,0.03630419
1207.22,0.03642318
1209.149,0.03670363
1211.077,0.03716248
1213.005,0.03764165
1214.934,0.03804024
1216.862,0.03823529
1218.791,0.03818852
1220.719,0.03808754
1222.648,0.0380035
1224.576,0.03791884
1226.505,0.03783209
1228.433,0.03753564
1230.362,0.03725272
1232.29,0.03705751
1234.219,0.03696408
1236.147,0.03681708
1238.076,0.03651095
1240.004,0.03631288
1241.932,0.03617032
1243.861,0.03587591
1245.789,0.03563543
1247.718,0.03543901
1249.646,0.03508328
1251.575,0.03467138
1253.503,0.03450408
1255.432,0.0342246
1257.36,0.03378806
1259.289,0.03332411
1261.217,0.0329334
1263.146,0.03269146
1265.074,0.03249232
1267.003,0.03239711
1268.931,0.03242095
1270.859,0.03231937
1272.788,0.03228265
1274.716,0.03240252
1276.645,0.03232006
1278.573,0.03225203
1280.502,0.03248023
1282.43,0.03265027
1284.359,0.03287276
1286.287,0.0331432
1288.216,0.03323432
1290.144,0.0334635
1292.073,0.03359799
1294.001,0.03356661
1295.93,0.03357678
1297.858,0.03361377
1299.786,0.03365425
1301.715,0.03367602
1303.643,0.03381705
1305.572,0.03400544
1307.5,0.03429476
1309.429,0.03449453
1311.357,0.0345812
1313.286,0.03472398
1315.214,0.03493091
1317.143,0.0350449
1319.071,0.03512585
1321.0,0.03529276
1322.928,0.03554498
1324.857,0.03576735
1326.785,0.03588514
1328.714,0.03608274
1330.642,0.03632268
1332.57,0.03653157
1334.499,0.03674411
1336.427,0.03694753
1338.356,0.03724834
1340.284,0.03757341
1342.213,0.03773336
1344.141,0.03799429
1346.07,0.03828903
1347.998,0.03852336
1349.927,0.03881588
1351.855,0.03904393
1353.784,0.03930671
1355.712,0.03960474
1357.641,0.04010369
1359.569,0.04072752
1361.497,0.04131399
1363.426,0.04175673
1365.354,0.04183162
1367.283,0.04158453
1369.211,0.04141308
1371.14,0.04137278
1373.068,0.04135978
1374.997,0.04148585
1376.925,0.04170074
1378.854,0.0418704
1380.782,0.04209702
1382.711,0.04239353
1384.639,0.04260122
1386.568,0.04275046
1388.496,0.04272651
1390.424,0.04277196
1392.353,0.04307195
1394.281,0.04330779
1396.21,0.04354228
1398.138,0.04390582
1400.067,0.04412245
1401.995,0.04435573
1403.924,0.04465413
1405.852,0.0449184
1407.781,0.0453098
1409.709,0.04570774
1411.638,0.04580252
1413.566,0.0457176
1415.495,0.04565903
1417.423,0.04577097
1419.351,0.04591162
1421.28,0.04598507
1423.208,0.04614366
1425.137,0.04635794
1427.065,0.0465385
1428.994,0.04671074
1430.922,0.04683221
1432.851,0.04701314
1434.779,0.04731985
1436.708,0.0477514
1438.636,0.04791761
1440.565,0.04803071
1442.493,0.04829503
1444.422,0.0487542
1446.35,0.04898119
1448.278,0.04889328
1450.207,0.04889758
1452.135,0.04902519
1454.064,0.04906557
1455.992,0.04925534
1457.921,0.04927902
1459.849,0.04901403
1461.778,0.04877909
1463.706,0.04877899
1465.635,0.04858279
1467.563,0.04803881
1469.492,0.04763345
1471.42,0.04746236
1473.349,0.04720129
1475.277,0.04692034
1477.205,0.04662463
1479.134,0.04637649
1481.062,0.0462787
1482.991,0.04634299
1484.919,0.04643547
1486.848,0.04672581
1488.776,0.04722248
1490.705,0.04768644
1492.633,0.04808245
1494.562,0.04885377
1496.49,0.04958419
1498.419,0.05008978
1500.347,0.0506651
1502.276,0.05106222
1504.204,0.05139598
1506.132,0.0514044
1508.061,0.05076053
1509.989,0.04984404
1511.918,0.0491811
1513.846,0.04867479
1515.775,0.04853393
1517.703,0.04851402
