x,y
999.9101,-0.320065
1000.874,-0.321127
1001.839,-0.322354
1002.803,-0.323404
1003.767,-0.323908
1004.731,-0.323748
1005.695,-0.323183
1006.66,-0.322746
1007.624,-0.32296
1008.588,-0.324032
1009.552,-0.325719
1010.517,-0.327474
1011.481,-0.328792
1012.445,-0.329518
1013.409,-0.329917
1014.374,-0.330461
1015.338,-0.331485
1016.302,-0.332929
1017.266,-0.33436
1018.231,-0.335275
1019.195,-0.335459
1020.159,-0.335148
1021.123,-0.334895
1022.088,-0.33523
1023.052,-0.336324
1024.016,-0.337892
1024.98,-0.33939
1025.944,-0.340392
1026.909,-0.340852
1027.873,-0.341106
1028.837,-0.341624
1029.801,-0.34268
1030.766,-0.344137
1031.73,-0.345515
1032.694,-0.346333
1033.658,-0.346452
1034.623,-0.346211
1035.587,-0.346264
1036.551,-0.347208
1037.515,-0.349213
1038.479,-0.351874
1039.444,-0.354436
1040.408,-0.356255
1041.372,-0.357168
1042.336,-0.357565
1043.301,-0.358137
1044.265,-0.359447
1045.229,-0.361574
1046.193,-0.364054
1047.158,-0.366186
1048.122,-0.367499
1049.086,-0.368044
1050.05,-0.368362
1051.015,-0.369139
1051.979,-0.370761
1052.943,-0.373014
1053.907,-0.375182
1054.871,-0.376517
1055.836,-0.376785
1056.8,-0.376504
1057.764,-0.376719
1058.728,-0.378424
1059.693,-0.381905
1060.657,-0.386432
1061.621,-0.390598
1062.585,-0.393157
1063.55,-0.393809
1064.514,-0.393393
1065.478,-0.393397
1066.442,-0.395051
1067.406,-0.398506
1068.371,-0.402645
1069.335,-0.405778
1070.299,-0.406786
1071.263,-0.405914
1072.228,-0.404688
1073.192,-0.405018
1074.156,-0.408012
1075.12,-0.413177
1076.085,-0.418622
1077.049,-0.422224
1078.013,-0.422961
1078.977,-0.421472
1079.942,-0.419568
1080.906,-0.419082
1081.87,-0.420752
1082.834,-0.423809
1083.798,-0.426561
1084.763,-0.427584
1085.727,-0.426634
1086.691,-0.424727
1087.655,-0.423433
1088.62,-0.423873
1089.584,-0.426016
1090.548,-0.428683
1091.512,-0.430342
1092.476,-0.430119
1093.441,-0.428322
1094.405,-0.426207
1095.369,-0.425201
1096.333,-0.426031
1097.298,-0.428197
1098.262,-0.430186
1099.226,-0.430394
1100.19,-0.428175
1101.155,-0.424288
1102.119,-0.420493
1103.083,-0.418574
1104.047,-0.419313
1105.012,-0.421972
1105.976,-0.424694
1106.94,-0.425657
1107.904,-0.424187
1108.869,-0.421101
1109.833,-0.418144
1110.797,-0.416917
1111.761,-0.41791
1112.725,-0.420207
1113.69,-0.422097
1114.654,-0.422221
1115.618,-0.420428
1116.582,-0.417817
1117.547,-0.416033
1118.511,-0.416259
1119.475,-0.418489
1120.439,-0.421536
1121.403,-0.423827
1122.368,-0.424438
1123.332,-0.423658
1124.296,-0.422725
1125.26,-0.422981
1126.225,-0.424974
1127.189,-0.42806
1128.153,-0.430793
1129.117,-0.431881
1130.082,-0.43104
1131.046,-0.429179
1132.01,-0.427877
1132.974,-0.428506
1133.939,-0.431456
1134.903,-0.435864
1135.867,-0.440049
1136.831,-0.442461
1137.796,-0.442536
1138.76,-0.440944
1139.724,-0.439157
1140.688,-0.43863
1141.652,-0.440002
1142.617,-0.442745
1143.581,-0.445517
1144.545,-0.447005
1145.509,-0.446738
1146.474,-0.445346
1147.438,-0.444143
1148.402,-0.444244
1149.366,-0.445783
1150.33,-0.447743
1151.295,-0.448599
1152.259,-0.447335
1153.223,-0.44413
1154.188,-0.440285
1155.152,-0.437469
1156.116,-0.436754
1157.08,-0.438025
1158.044,-0.440128
1159.009,-0.441658
1159.973,-0.441821
1160.937,-0.440836
1161.901,-0.439642
1162.866,-0.439187
1163.83,-0.439765
1164.794,-0.440834
1165.758,-0.441449
1166.723,-0.44097
1167.687,-0.439539
1168.651,-0.438011
1169.615,-0.437417
1170.579,-0.438315
1171.544,-0.440402
1172.508,-0.442645
1173.472,-0.443883
1174.436,-0.443518
1175.401,-0.441874
1176.365,-0.439987
1177.329,-0.438976
1178.293,-0.439381
1179.257,-0.440867
1180.222,-0.442477
1181.186,-0.443261
1182.15,-0.442878
1183.115,-0.441789
1184.079,-0.440951
1185.043,-0.441205
1186.007,-0.44272
1186.971,-0.444873
1187.936,-0.446663
1188.9,-0.447388
1189.864,-0.447102
1190.828,-0.44655
1191.793,-0.446653
1192.757,-0.447884
1193.721,-0.44993
1194.685,-0.451894
1195.65,-0.4529
1196.614,-0.452686
1197.578,-0.451786
1198.542,-0.451172
1199.506,-0.451597
1200.471,-0.453074
1201.435,-0.454876
1202.399,-0.45606
1203.363,-0.456119
1204.328,-0.455322
1205.292,-0.454516
1206.256,-0.454548
1207.22,-0.455688
1208.184,-0.457425
1209.149,-0.458803
1210.113,-0.45907
1211.077,-0.458199
1212.042,-0.456944
1213.006,-0.45639
